rank,term,n_tokens,freq
1,"two dimensional",2,841
2,"standard model",2,625
3,"ground state",2,498
4,"high energy",2,469
5,"phase transition",2,459
6,"low energy",2,445
7,"magnetic field",2,417
8,"first order",2,375
9,"perturbation theory",2,341
10,"experimental data",2,339
11,"field theory",2,320
12,"finite temperature",2,312
13,"second order",2,301
14,"numerical simulations",2,289
15,"string theory",2,288
16,"low temperature",2,287
17,"three dimensional",2,285
18,"large scale",2,282
19,"space time",2,271
20,"new approach",2,265
21,"leading order",2,262
22,"large number",2,262
23,"quantum mechanics",2,260
24,"wave function",2,245
25,"quantum field",2,245
26,"phase space",2,243
27,"energy spectrum",2,241
28,"strong coupling",2,238
29,"non zero",2,228
30,"higher order",2,228
31,"long range",2,228
32,"power law",2,228
33,"new physics",2,224
34,"effective action",2,218
35,"high resolution",2,216
36,"time dependent",2,214
37,"dynamical systems",2,208
38,"model independent",2,201
39,"non linear",2,194
40,"time evolution",2,191
41,"boundary conditions",2,190
42,"low mass",2,179
43,"gauge theories",2,179
44,"zero temperature",2,179
45,"monte carlo simulations",3,178
46,"gauge field",2,177
47,"general relativity",2,173
48,"black hole",2,170
49,"non trivial",2,167
50,"non perturbative",2,166
51,"correlation function",2,163
52,"mass spectrum",2,161
53,"exact solutions",2,160
54,"two dimensions",2,160
55,"correlation functions",2,159
56,"effective potential",2,159
57,"cross section",2,158
58,"self consistent",2,157
59,"four dimensions",2,155
60,"star formation",2,154
61,"cosmological models",2,154
62,"distribution function",2,152
63,"sigma model",2,152
64,"high redshift",2,151
65,"dark matter",2,151
66,"two component",2,149
67,"order parameter",2,148
68,"phys rev",2,147
69,"quantum field theory",3,147
70,"cosmological constant",2,147
71,"gauge symmetry",2,146
72,"local density",2,145
73,"gauge theory",2,145
74,"critical behavior",2,145
75,"cross sections",2,145
76,"special case",2,143
77,"bound states",2,143
78,"coupling constant",2,143
79,"mean field",2,143
80,"final state",2,143
81,"classical limit",2,142
82,"galaxy clusters",2,142
83,"quantum fluctuations",2,141
84,"moduli space",2,140
85,"critical value",2,137
86,"single particle",2,137
87,"free energy",2,136
88,"early universe",2,135
89,"optical spectra",2,135
90,"numerical calculations",2,134
91,"non local",2,134
92,"effective lagrangian",2,133
93,"angular momentum",2,132
94,"available data",2,131
95,"wave functions",2,130
96,"invariant under",2,130
97,"einstein equations",2,129
98,"new class",2,129
99,"four dimensional",2,129
100,"real space",2,127
101,"form factors",2,127
102,"two types",2,126
103,"two body",2,126
104,"structure functions",2,126
105,"matrix theory",2,125
106,"monte carlo",2,125
107,"scalar field",2,125
108,"exact solution",2,123
109,"bound state",2,120
110,"zero point",2,118
111,"temperature dependence",2,118
112,"perturbative qcd",2,115
113,"finite size",2,115
114,"tree level",2,114
115,"scalar fields",2,113
116,"lattice qcd",2,113
117,"two photon",2,112
118,"upper limit",2,112
119,"physical properties",2,111
120,"structure function",2,109
121,"detailed analysis",2,109
122,"self energy",2,109
123,"data set",2,109
124,"gravitational field",2,108
125,"two loop",2,107
126,"matrix elements",2,106
127,"cp violation",2,106
128,"lie algebra",2,105
129,"long time",2,105
130,"initial conditions",2,105
131,"initial state",2,104
132,"stellar evolution",2,104
133,"phase diagram",2,104
134,"energy density",2,102
135,"quantum information",2,101
136,"point like",2,101
137,"quark masses",2,101
138,"square lattice",2,101
139,"type ii",2,100
140,"parameter space",2,100
141,"spin chain",2,99
142,"gauge field theories",3,99
143,"small values",2,99
144,"theoretical predictions",2,99
145,"supersymmetric su",2,98
146,"symmetry breaking",2,98
147,"heavy quark",2,98
148,"density fluctuations",2,97
149,"supersymmetric models",2,97
150,"surface density",2,96
151,"effective hamiltonian",2,95
152,"quantum gravity",2,95
153,"structure formation",2,95
154,"yang mills",2,95
155,"black holes",2,94
156,"dynamical properties",2,94
157,"renormalization group",2,94
158,"gauge field theory",3,93
159,"evolution equations",2,93
160,"nuclear matter",2,93
161,"coherent states",2,92
162,"explicit form",2,92
163,"quantum mechanical",2,92
164,"power spectrum",2,92
165,"chiral perturbation theory",3,92
166,"matter fields",2,91
167,"strong interactions",2,91
168,"accretion disk",2,91
169,"spectral analysis",2,91
170,"neutron stars",2,91
171,"spherically symmetric",2,91
172,"quantum groups",2,90
173,"infinite dimensional",2,90
174,"chiral symmetry",2,90
175,"magnetic fields",2,89
176,"non relativistic",2,89
177,"scaling properties",2,89
178,"specific heat",2,89
179,"gamma ray bursts",3,88
180,"ray spectrum",2,88
181,"shell model",2,88
182,"solar masses",2,88
183,"phase transitions",2,88
184,"partition function",2,87
185,"three dimensions",2,87
186,"fixed point",2,87
187,"high energies",2,87
188,"path integral",2,86
189,"hilbert space",2,85
190,"experimental measurements",2,85
191,"green function",2,85
192,"galaxy formation",2,84
193,"continuum limit",2,84
194,"weak interaction",2,83
195,"supersymmetry breaking",2,83
196,"neutrino mass",2,83
197,"self similar",2,83
198,"qcd corrections",2,82
199,"deep inelastic scattering",3,82
200,"emission lines",2,81
201,"observational data",2,81
202,"decay rate",2,81
203,"energy levels",2,80
204,"system size",2,80
205,"gravitational waves",2,80
206,"complex structure",2,80
207,"large class",2,80
208,"dirac operator",2,80
209,"normal state",2,80
210,"chiral limit",2,80
211,"theoretical models",2,80
212,"arbitrary number",2,79
213,"kinetic energy",2,79
214,"steady state",2,79
215,"low frequency",2,79
216,"fixed points",2,79
217,"dirac equation",2,78
218,"sky survey",2,78
219,"local group",2,78
220,"quark mass",2,78
221,"harmonic oscillator",2,77
222,"domain walls",2,77
223,"distribution functions",2,77
224,"statistical properties",2,77
225,"thermodynamic limit",2,76
226,"small scale",2,76
227,"mean field theory",3,76
228,"short range",2,76
229,"low temperatures",2,76
230,"de sitter space",3,75
231,"probability distribution",2,75
232,"electron scattering",2,75
233,"correlation length",2,75
234,"many body",2,74
235,"total number",2,74
236,"radio sources",2,74
237,"density matrix",2,74
238,"spiral galaxies",2,74
239,"light curves",2,74
240,"stellar mass",2,73
241,"magnetic field theory",3,73
242,"ads cft correspondence",3,73
243,"random phase",2,72
244,"matrix models",2,72
245,"coupling constants",2,72
246,"large scale structure",3,71
247,"galactic halo",2,71
248,"spin dependent",2,71
249,"excited states",2,70
250,"charged particle",2,70
251,"ray source",2,70
252,"two components",2,70
253,"central collisions",2,70
254,"expectation value",2,69
255,"self dual",2,69
256,"general relativistic",2,69
257,"ray flux",2,69
258,"elliptical galaxies",2,69
259,"strong magnetic field",3,69
260,"light mesons",2,69
261,"final states",2,69
262,"two classes",2,68
263,"quantum field theories",3,68
264,"near infrared",2,68
265,"luminosity function",2,68
266,"neutral current",2,68
267,"mass term",2,68
268,"molecular dynamics",2,68
269,"short distance",2,68
270,"real time",2,67
271,"topological defects",2,67
272,"radio galaxy",2,67
273,"vector fields",2,67
274,"form factor",2,67
