rank,term,n_tokens,freq
1,"two dimensional",2,850
2,"field theory",2,778
3,"standard model",2,620
4,"magnetic field",2,561
5,"experimental data",2,450
6,"two dimensions",2,449
7,"ground state",2,433
8,"first order",2,421
9,"high energy",2,412
10,"low energy",2,373
11,"phase transition",2,361
12,"gauge theory",2,340
13,"second order",2,338
14,"phase space",2,307
15,"leading order",2,307
16,"new physics",2,302
17,"numerical simulations",2,295
18,"three dimensional",2,292
19,"perturbation theory",2,289
20,"high temperature",2,275
21,"low mass",2,274
22,"quantum mechanics",2,273
23,"power law",2,266
24,"large number",2,261
25,"time evolution",2,258
26,"new approach",2,253
27,"space time",2,250
28,"strong coupling",2,247
29,"non linear",2,235
30,"zero temperature",2,232
31,"two point",2,228
32,"high resolution",2,227
33,"model independent",2,224
34,"bound states",2,221
35,"large scale",2,221
36,"wave function",2,219
37,"order parameter",2,218
38,"boundary conditions",2,216
39,"finite temperature",2,213
40,"four dimensional",2,211
41,"effective action",2,210
42,"general relativity",2,208
43,"cross section",2,205
44,"wave functions",2,204
45,"self consistent",2,203
46,"exact solution",2,202
47,"renormalization group",2,202
48,"time dependent",2,200
49,"dark matter",2,199
50,"phys rev",2,196
51,"non local",2,196
52,"galaxy clusters",2,196
53,"dynamical system",2,190
54,"structure function",2,190
55,"phase transitions",2,188
56,"higher order",2,183
57,"cosmological constant",2,182
58,"effective potential",2,182
59,"free energy",2,179
60,"quantum fluctuations",2,178
61,"non zero",2,173
62,"mass distribution",2,172
63,"mean field",2,171
64,"single particle",2,167
65,"non perturbative",2,166
66,"temperature dependence",2,161
67,"two component",2,159
68,"gauge theories",2,159
69,"two photon",2,158
70,"cp violation",2,158
71,"finite size",2,158
72,"correlation functions",2,157
73,"non trivial",2,156
74,"long range",2,156
75,"quantum gravity",2,154
76,"angular momentum",2,153
77,"monte carlo",2,152
78,"matrix theory",2,149
79,"special case",2,149
80,"classical limit",2,149
81,"large class",2,148
82,"small scale",2,148
83,"statistical properties",2,147
84,"scalar field",2,147
85,"exact solutions",2,146
86,"symmetry breaking",2,146
87,"mass spectrum",2,144
88,"einstein equations",2,144
89,"chiral symmetry",2,143
90,"critical value",2,141
91,"quantum mechanical",2,140
92,"low frequency",2,140
93,"new class",2,140
94,"string theory",2,140
95,"detailed analysis",2,139
96,"energy spectra",2,139
97,"hilbert space",2,138
98,"self energy",2,138
99,"theoretical models",2,137
100,"monte carlo simulations",3,136
101,"long time",2,135
102,"yang mills",2,135
103,"black hole",2,135
104,"sigma model",2,135
105,"black holes",2,135
106,"neutron star",2,135
107,"distribution function",2,134
108,"energy density",2,134
109,"two types",2,134
110,"correlation function",2,133
111,"matrix elements",2,133
112,"spectral properties",2,131
113,"dynamical systems",2,130
114,"final state",2,129
115,"low temperatures",2,129
116,"parameter space",2,127
117,"initial conditions",2,127
118,"scalar field theory",3,126
119,"energy spectrum",2,123
120,"spherically symmetric",2,122
121,"spin gap",2,122
122,"critical temperature",2,122
123,"physical properties",2,122
124,"early universe",2,121
125,"cross sections",2,120
126,"quark masses",2,120
127,"coupling constant",2,117
128,"form factor",2,117
129,"cosmological models",2,116
130,"type ii",2,115
131,"lie algebra",2,115
132,"low temperature",2,115
133,"data set",2,115
134,"high redshift",2,114
135,"arbitrary number",2,112
136,"phase diagram",2,112
137,"spin dependent",2,111
138,"non equilibrium",2,111
139,"power spectra",2,110
140,"initial state",2,110
141,"tree level",2,110
142,"heavy quark",2,110
143,"light curves",2,110
144,"electronic structure",2,109
145,"spectral density",2,108
146,"upper limits",2,108
147,"atmospheric neutrinos",2,108
148,"invariant under",2,107
149,"power spectrum",2,106
150,"galaxy formation",2,106
151,"vacuum energy",2,105
152,"coherent states",2,105
153,"gauge invariant",2,105
154,"scalar fields",2,105
155,"form factors",2,105
156,"total mass",2,104
157,"fixed point",2,104
158,"gravitational field",2,104
159,"conformal field theory",3,103
160,"two loop",2,103
161,"electromagnetic field",2,102
162,"mean field theory",3,102
163,"vector fields",2,102
164,"young stars",2,102
165,"perturbative qcd",2,102
166,"molecular dynamics",2,101
167,"dirac operator",2,101
168,"pure state",2,101
169,"closed form",2,101
170,"binary system",2,101
171,"physical parameters",2,101
172,"strong interactions",2,101
173,"continuum limit",2,101
174,"accretion disk",2,101
175,"general relativistic",2,100
176,"many body",2,100
177,"ads cft correspondence",3,100
178,"small values",2,99
179,"real space",2,99
180,"theoretical predictions",2,99
181,"complete set",2,98
182,"least two",2,98
183,"effective hamiltonian",2,97
184,"probability distribution",2,97
185,"magnetic fields",2,97
186,"galactic halo",2,97
187,"decay rate",2,97
188,"transport properties",2,96
189,"deep inelastic scattering",3,95
190,"harmonic oscillator",2,94
191,"de sitter",2,94
192,"chaotic dynamics",2,93
193,"square lattice",2,93
194,"number density",2,93
195,"time scale",2,93
196,"star formation",2,93
197,"lattice qcd",2,93
198,"bound state",2,92
199,"radio emission",2,92
200,"partition function",2,91
201,"spectral function",2,91
202,"gamma ray bursts",3,91
203,"energy levels",2,90
204,"lower bound",2,90
205,"early type",2,90
206,"starburst galaxies",2,90
207,"critical point",2,89
208,"system size",2,89
209,"numerical calculations",2,89
