rank,term,n_tokens,freq
1,"two dimensional",2,1018
2,"field theory",2,931
3,"ground state",2,647
4,"high energy",2,606
5,"standard model",2,606
6,"simple model",2,534
7,"magnetic field",2,498
8,"experimental data",2,489
9,"low energy",2,484
10,"phase transition",2,450
11,"first order",2,440
12,"low temperature",2,430
13,"new physics",2,335
14,"second order",2,331
15,"large number",2,322
16,"leading order",2,311
17,"power law",2,302
18,"new approach",2,294
19,"large scale",2,293
20,"mean field",2,276
21,"cross section",2,263
22,"space time",2,262
23,"non linear",2,258
24,"high resolution",2,254
25,"boundary conditions",2,252
26,"phase space",2,249
27,"self consistent",2,243
28,"time dependent",2,241
29,"three dimensions",2,241
30,"effective action",2,240
31,"three dimensional",2,239
32,"numerical simulations",2,238
33,"structure function",2,236
34,"bound states",2,235
35,"black holes",2,233
36,"finite dimensional",2,230
37,"general relativity",2,228
38,"gauge theory",2,226
39,"temperature dependence",2,222
40,"string theory",2,221
41,"phys rev",2,220
42,"time evolution",2,218
43,"perturbation theory",2,214
44,"effective potential",2,211
45,"cosmological models",2,211
46,"order parameter",2,210
47,"zero temperature",2,207
48,"non trivial",2,204
49,"dynamical systems",2,203
50,"correlation functions",2,199
51,"model independent",2,198
52,"angular momentum",2,195
53,"two dimensions",2,195
54,"critical behavior",2,194
55,"wave functions",2,193
56,"quantum mechanics",2,193
57,"long range",2,192
58,"scalar field",2,189
59,"short range",2,188
60,"high temperature",2,187
61,"single particle",2,187
62,"exact solution",2,187
63,"two component",2,186
64,"new class",2,183
65,"four dimensional",2,181
66,"wave function",2,180
67,"parameter space",2,180
68,"non equilibrium",2,177
69,"data set",2,173
70,"magnetic fields",2,171
71,"special case",2,169
72,"physical properties",2,168
73,"cross sections",2,168
74,"non local",2,167
75,"sigma model",2,166
76,"higher order",2,166
77,"dark matter",2,163
78,"quantum gravity",2,163
79,"radio emission",2,162
80,"symmetry breaking",2,161
81,"two types",2,160
82,"non zero",2,159
83,"renormalization group",2,157
84,"theoretical predictions",2,157
85,"early universe",2,157
86,"cp violation",2,155
87,"fixed point",2,154
88,"massive stars",2,154
89,"statistical properties",2,153
90,"finite temperature",2,152
91,"spectral analysis",2,151
92,"finite size",2,149
93,"long time",2,149
94,"quantum fluctuations",2,147
95,"free energy",2,146
96,"monte carlo simulations",3,145
97,"low mass",2,145
98,"critical value",2,144
99,"initial state",2,141
100,"galaxy clusters",2,141
101,"cosmological constant",2,141
102,"real space",2,140
103,"galaxy formation",2,140
104,"non perturbative",2,139
105,"ray spectrum",2,138
106,"solar masses",2,138
107,"energy spectrum",2,137
108,"matrix elements",2,137
109,"number density",2,135
110,"quantum mechanical",2,131
111,"detailed analysis",2,130
112,"coupling constant",2,130
113,"phase transitions",2,129
114,"finite number",2,129
115,"neutron stars",2,128
116,"large class",2,128
117,"specific heat",2,124
118,"normal state",2,124
119,"mass distribution",2,124
120,"initial conditions",2,124
121,"upper limit",2,124
122,"mass function",2,124
123,"spin dependent",2,123
124,"black hole",2,123
125,"dynamics simulations",2,122
126,"final state",2,122
127,"monte carlo",2,121
128,"coherent states",2,121
129,"many body",2,120
130,"theoretical models",2,120
131,"classical limit",2,119
132,"einstein equations",2,119
133,"weak coupling",2,118
134,"energy distribution",2,118
135,"exact solutions",2,118
136,"ray spectra",2,118
137,"high redshift",2,118
138,"two photon",2,118
139,"mean field theory",3,117
140,"low temperatures",2,117
141,"disk galaxies",2,117
142,"density fluctuations",2,116
143,"quantum dot",2,116
144,"two loop",2,116
145,"quark masses",2,116
146,"strong coupling",2,115
147,"partition function",2,114
148,"zero point",2,114
149,"type ii",2,114
150,"form factors",2,114
151,"quantum corrections",2,113
152,"two body",2,113
153,"statistical mechanics",2,112
154,"scalar fields",2,112
155,"light curves",2,111
156,"distribution function",2,111
157,"phenomenological model",2,110
158,"high frequency",2,110
159,"cosmological parameters",2,110
160,"nuclear matter",2,110
161,"closed form",2,109
162,"quantum information",2,109
163,"molecular gas",2,108
164,"spectral properties",2,108
165,"invariant under",2,108
166,"spectral energy",2,107
167,"non relativistic",2,107
168,"brane world",2,107
169,"shell model",2,106
170,"ray sources",2,106
171,"particle physics",2,106
172,"star formation",2,105
173,"initial data",2,105
174,"structure functions",2,105
175,"evolution equations",2,105
176,"electronic structure",2,104
177,"transport properties",2,104
178,"electron density",2,104
179,"dynamical properties",2,104
180,"effective hamiltonian",2,104
181,"weak interactions",2,104
182,"surface density",2,103
183,"spherically symmetric",2,103
184,"power spectrum",2,103
185,"band structure",2,102
186,"universality class",2,102
187,"non universal",2,102
188,"structure formation",2,102
189,"redshift survey",2,102
190,"yang mills",2,102
191,"point like",2,102
192,"effective lagrangian",2,102
193,"local group",2,101
194,"field theories",2,101
195,"low frequency",2,101
196,"charged particles",2,101
197,"delta function",2,100
198,"higher dimensional",2,100
199,"nearby galaxies",2,100
200,"self energy",2,100
201,"mass spectrum",2,100
202,"two classes",2,99
203,"continuum limit",2,99
204,"spin gap",2,99
205,"hilbert space",2,99
206,"spectral function",2,98
207,"light curve",2,98
208,"near infrared",2,98
209,"supersymmetric models",2,98
210,"time scale",2,97
211,"quantum algorithm",2,97
212,"tree level",2,97
213,"moduli space",2,97
214,"bound state",2,96
215,"general relativistic",2,96
216,"phase diagram",2,95
217,"gauge field",2,95
218,"gauge theories",2,95
219,"chemical potential",2,94
220,"decay rate",2,94
221,"path integral",2,94
222,"elastic scattering",2,93
223,"sufficient conditions",2,93
224,"perturbative qcd",2,93
225,"complex structure",2,92
226,"self similar",2,92
227,"conformal field theory",3,92
228,"quantum numbers",2,91
229,"total energy",2,91
230,"form factor",2,91
231,"gauge invariant",2,91
232,"de sitter",2,91
233,"heavy ion collisions",3,91
234,"wave superconductors",2,90
235,"numerical calculations",2,90
236,"binary system",2,90
237,"interstellar medium",2,90
238,"vector fields",2,90
239,"open string",2,90
240,"lattice qcd",2,90
241,"probability distribution",2,89
242,"total number",2,89
243,"charge density",2,89
244,"harmonic oscillator",2,89
245,"ads cft correspondence",3,89
246,"quark mass",2,89
247,"electron systems",2,88
248,"gauge invariance",2,88
249,"dirac equation",2,88
250,"mass term",2,88
251,"binary systems",2,88
252,"steady state",2,87
253,"double well",2,87
254,"correlation function",2,87
255,"total mass",2,87
256,"low energies",2,87
257,"differential equations",2,87
258,"system size",2,86
259,"two sets",2,86
260,"critical point",2,86
261,"early type",2,86
262,"theoretical framework",2,85
263,"fermi surface",2,85
264,"energy density",2,85
265,"neutron scattering",2,85
266,"upper limits",2,85
267,"lie algebras",2,83
268,"deep inelastic scattering",3,83
269,"heavy quark",2,83
270,"domain walls",2,82
271,"first principles",2,82
272,"pure states",2,82
273,"time independent",2,82
274,"thin films",2,82
275,"scaling properties",2,82
276,"emission lines",2,82
277,"physical parameters",2,82
278,"complete set",2,82
279,"ising model",2,81
280,"extra dimensions",2,81
281,"free particle",2,80
282,"electric field",2,80
283,"wide field",2,79
284,"self interaction",2,79
285,"distribution functions",2,79
286,"alpha beta",2,79
287,"neutron star",2,79
288,"heisenberg model",2,78
289,"density matrix",2,78
290,"explicit expressions",2,78
291,"structural properties",2,78
292,"accretion disk",2,78
293,"pair production",2,78
294,"small amplitude",2,78
295,"moduli spaces",2,78
296,"critical temperature",2,77
297,"green functions",2,77
298,"explicit form",2,77
299,"least two",2,77
300,"dwarf galaxies",2,77
301,"necessary condition",2,77
302,"strong magnetic",2,76
303,"critical current",2,76
304,"velocity distribution",2,76
305,"sky survey",2,76
306,"non commutative",2,76
307,"branching ratio",2,76
308,"single crystal",2,75
309,"energy levels",2,75
310,"momentum dependence",2,75
311,"coulomb interaction",2,75
312,"radio source",2,75
313,"galaxy ngc",2,75
314,"time series",2,74
315,"flux density",2,74
316,"high velocity",2,74
317,"quantum computation",2,74
318,"near threshold",2,74
319,"external magnetic field",3,73
320,"spin fluctuations",2,73
321,"critical exponents",2,73
322,"strong correlation",2,73
323,"expectation values",2,73
324,"numerical solution",2,73
325,"electromagnetic field",2,73
326,"chern simons",2,73
327,"entangled state",2,73
328,"kaluza klein",2,73
329,"small scale",2,73
330,"precision measurements",2,73
331,"density profile",2,72
332,"disordered systems",2,72
333,"dispersion relation",2,72
334,"arbitrary dimension",2,72
335,"theoretical calculations",2,72
336,"dynamical evolution",2,72
337,"type stars",2,72
338,"lie algebra",2,72
339,"neutrino mass",2,72
340,"energy gap",2,71
341,"short distance",2,71
342,"non interacting",2,71
343,"fine structure",2,71
344,"time dependence",2,71
345,"mass ratio",2,71
346,"local fields",2,71
347,"high accuracy",2,70
348,"integral equation",2,70
349,"spin down",2,70
350,"square lattice",2,70
351,"emission line",2,70
352,"scalar field theory",3,70
353,"high energies",2,70
354,"rare decays",2,70
355,"intermediate mass",2,69
356,"integrable systems",2,69
357,"lower bounds",2,69
358,"gauge group",2,69
359,"neutrino oscillations",2,69
360,"integrated luminosity",2,69
361,"loop corrections",2,69
362,"mode coupling",2,68
363,"probability distributions",2,68
364,"main features",2,68
365,"excited states",2,68
366,"higher dimensions",2,68
367,"green function",2,68
368,"numerical methods",2,68
369,"long term",2,68
370,"low luminosity",2,68
371,"observational data",2,68
372,"quantum groups",2,68
373,"coupling limit",2,67
374,"body simulations",2,67
375,"optical spectroscopy",2,67
376,"strong magnetic field",3,67
377,"spin correlations",2,67
378,"stellar objects",2,67
379,"numerical calculation",2,67
380,"linear colliders",2,67
381,"phase shift",2,66
382,"exchange interaction",2,66
383,"ray absorption",2,66
384,"four point",2,66
385,"physical conditions",2,66
386,"complete sample",2,66
387,"second part",2,66
388,"matter fields",2,66
389,"parity violation",2,66
390,"stress energy",2,66
391,"first observation",2,66
392,"collective modes",2,65
393,"weakly coupled",2,65
394,"continuum emission",2,65
395,"spin chain",2,65
396,"general features",2,65
397,"euclidean space",2,65
398,"statistical analysis",2,65
399,"gravitational potential",2,65
400,"four dimensions",2,65
401,"conformal symmetry",2,65
402,"final states",2,65
403,"electron beam",2,64
404,"non negative",2,64
405,"size distribution",2,64
406,"gravitational lensing",2,64
407,"non thermal",2,64
408,"large enough",2,63
409,"high temperatures",2,63
410,"power spectra",2,63
411,"special attention",2,63
412,"lower bound",2,63
413,"radiative corrections",2,63
414,"decay modes",2,63
415,"quark gluon",2,63
416,"strong magnetic fields",3,62
417,"coupling constants",2,62
418,"model predicts",2,62
419,"theoretical description",2,62
420,"spiral galaxies",2,62
421,"time scales",2,62
422,"spatial distribution",2,62
423,"confidence level",2,62
424,"scattering amplitudes",2,62
425,"self dual",2,62
426,"spontaneously broken",2,62
427,"randall sundrum",2,62
428,"off shell",2,62
429,"upper bound",2,62
430,"mass energies",2,62
431,"non gaussian",2,61
432,"molecular dynamics simulations",3,61
433,"quantum interference",2,61
434,"central charge",2,61
435,"effective temperature",2,61
436,"large scale structure",3,61
437,"left right",2,61
438,"current voltage",2,61
439,"maxwell equations",2,61
440,"bepposax observations",2,61
441,"narrow range",2,61
442,"frequency range",2,61
443,"gravitational wave",2,61
444,"matrix theory",2,61
445,"phase diagrams",2,60
446,"superconducting transition",2,60
447,"single crystals",2,60
448,"special relativity",2,60
449,"central star",2,60
450,"spectral features",2,60
451,"scattering amplitude",2,60
452,"radiation field",2,60
453,"systematic errors",2,60
454,"beta function",2,60
455,"length scale",2,59
456,"decay rates",2,59
457,"molecular dynamics",2,59
458,"microscopic theory",2,59
459,"numerical solutions",2,59
460,"ground states",2,59
461,"region around",2,59
462,"solar system",2,59
463,"non abelian",2,59
464,"seiberg witten",2,59
465,"chiral symmetry",2,59
466,"asymptotic behavior",2,58
467,"lowest order",2,58
468,"thermal fluctuations",2,58
469,"infinite dimensional",2,58
470,"random matrix",2,58
471,"constant problem",2,58
472,"gamma ray bursts",3,58
473,"point source",2,58
474,"cold dark matter",3,58
475,"information theory",2,58
476,"semi classical",2,58
477,"neutral current",2,58
478,"random phase",2,58
479,"relaxation time",2,57
480,"superconducting state",2,57
481,"dual description",2,57
482,"photometric observations",2,57
483,"chemical evolution",2,57
484,"galactic disk",2,57
485,"central region",2,57
486,"symplectic manifold",2,57
487,"five dimensions",2,57
488,"momentum tensor",2,57
489,"non vanishing",2,57
490,"supersymmetry breaking",2,57
491,"pb collisions",2,57
492,"meson decays",2,57
493,"higgs boson",2,57
494,"glass transition",2,56
495,"hubbard model",2,56
496,"excitation spectrum",2,56
497,"electronic states",2,56
498,"spin polarized",2,56
499,"exchange interactions",2,56
500,"thermal equilibrium",2,56
501,"flat spectrum",2,56
502,"periodic potential",2,56
503,"modules over",2,56
504,"simple proof",2,56
505,"gauge fields",2,56
506,"non compact",2,56
507,"many applications",2,56
508,"coherent state",2,56
509,"nucleon interactions",2,56
510,"atmospheric neutrino oscillations",3,56
511,"pi pi0",2,56
512,"pion nucleon",2,56
513,"scaling behavior",2,55
514,"stochastic process",2,55
515,"monte carlo simulation",3,55
516,"stability analysis",2,55
517,"supernova remnant",2,55
518,"kinetic energy",2,55
519,"irreducible representations",2,55
520,"zero modes",2,55
521,"vacuum state",2,55
522,"infinite number",2,55
523,"light cone",2,55
524,"pion production",2,55
525,"average value",2,54
526,"first order parameter",3,54
527,"condensed matter",2,54
528,"thermodynamic limit",2,54
529,"magnetic field theory",3,54
530,"initial mass",2,54
531,"probability density",2,54
532,"giving rise",2,54
533,"small angle",2,54
534,"maximum mass",2,54
535,"radio galaxies",2,54
536,"gauge symmetry",2,54
537,"hamiltonian formalism",2,54
538,"hamiltonian formulation",2,54
539,"perturbative expansion",2,54
540,"gauge boson",2,54
541,"fine tuning",2,54
542,"total cross section",3,54
543,"periodic boundary conditions",3,53
544,"structure factor",2,53
545,"physical mechanism",2,53
546,"exact diagonalization",2,53
547,"fixed points",2,53
548,"fermi liquid",2,53
549,"binding energy",2,53
550,"superconducting phase",2,53
551,"momentum transfer",2,53
552,"configuration space",2,53
553,"gauge field theory",3,53
554,"proper motion",2,53
555,"starburst galaxies",2,53
556,"physical quantities",2,53
557,"gravitational field",2,53
558,"existing data",2,53
559,"solar neutrinos",2,53
560,"dark matter halos",3,53
561,"light nuclei",2,53
562,"chiral limit",2,53
563,"branching ratios",2,53
564,"generating functions",2,52
565,"topological defects",2,52
566,"test case",2,52
567,"numerical simulation",2,52
568,"mass generation",2,52
569,"globular cluster",2,52
570,"lower limit",2,52
571,"algebraic structure",2,52
572,"flow equations",2,52
573,"small perturbations",2,52
574,"chaotic systems",2,52
575,"particle production",2,52
576,"nuclear reactions",2,52
577,"ginzburg landau",2,51
578,"macroscopic quantum",2,51
579,"complex plane",2,51
580,"magnetic field strength",3,51
581,"finite temperatures",2,51
582,"ray scattering",2,51
583,"stellar mass",2,51
584,"main sequence",2,51
585,"boundary condition",2,51
586,"measurement process",2,51
587,"stat syst",2,51
588,"fractal dimension",2,50
589,"hartree fock",2,50
590,"nearest neighbor",2,50
591,"interaction strength",2,50
592,"two regimes",2,50
593,"approximation scheme",2,50
594,"spatial resolution",2,50
595,"kev band",2,50
596,"luminosity function",2,50
597,"gravitational radiation",2,50
598,"hubble space telescope",3,50
599,"line region",2,50
600,"charged particle",2,50
601,"noncommutative geometry",2,50
602,"gauge symmetries",2,50
603,"value problem",2,50
604,"experimental test",2,50
605,"differential cross section",3,50
606,"light quarks",2,50
607,"vortex state",2,49
608,"scale factor",2,49
609,"strongly correlated",2,49
610,"thermodynamic properties",2,49
611,"magnetic moment",2,49
612,"pure state",2,49
613,"boltzmann equation",2,49
614,"relativistic electrons",2,49
615,"optical depth",2,49
616,"compact objects",2,49
617,"phi pi",2,49
618,"simply connected",2,49
619,"internal structure",2,49
620,"random walks",2,49
621,"tensor product",2,49
622,"briefly reviewed",2,49
623,"sum rule",2,49
624,"yukawa couplings",2,49
625,"randall sundrum model",3,49
626,"formation rate",2,48
627,"path integrals",2,48
628,"electron hole",2,48
629,"geometric properties",2,48
630,"high quality",2,48
631,"sum rules",2,48
632,"three body",2,48
633,"domain wall",2,48
634,"dense matter",2,48
635,"cold gas",2,48
636,"asca observations",2,48
637,"inverse problem",2,48
638,"stationary states",2,48
639,"gauge bosons",2,48
640,"explicit construction",2,48
641,"square well",2,48
642,"feynman diagrams",2,48
643,"scalar tensor",2,48
644,"vector mesons",2,48
645,"normal metal",2,47
646,"first excited",2,47
647,"high precision",2,47
648,"half filling",2,47
649,"characteristic zero",2,47
650,"interacting electrons",2,47
651,"particle hole",2,47
652,"computer simulations",2,47
653,"antiferromagnetic order",2,47
654,"bose einstein condensates",3,47
655,"random potential",2,47
656,"finite volume",2,47
657,"ray emission",2,47
658,"galactic bulge",2,47
659,"cosmic ray",2,47
660,"spectroscopic observations",2,47
661,"free parameter",2,47
662,"standard model independent",3,47
663,"optically thick",2,47
664,"explicit expression",2,47
665,"spontaneous symmetry breaking",3,47
666,"string theories",2,47
667,"production rate",2,47
668,"data sets",2,47
669,"central source",2,47
670,"decay width",2,47
671,"chiral symmetry breaking",3,47
672,"radiative decays",2,47
673,"long wavelength",2,46
674,"ab initio",2,46
675,"metal insulator transition",3,46
676,"tight binding",2,46
677,"repulsive interactions",2,46
678,"low surface",2,46
679,"analytic solutions",2,46
680,"cond mat",2,46
681,"experimental observation",2,46
682,"linear response",2,46
683,"plane wave",2,46
684,"noise ratio",2,46
685,"hst images",2,46
686,"large area",2,46
687,"redshift range",2,46
688,"young stars",2,46
689,"galactic plane",2,46
690,"complex numbers",2,46
691,"functional theory",2,46
692,"gravitational interaction",2,46
693,"differential operators",2,46
694,"unified approach",2,46
695,"quant ph",2,46
696,"group actions",2,46
697,"minimally coupled",2,46
698,"galactic center",2,46
699,"hierarchical models",2,45
700,"analytical calculations",2,45
701,"sum over",2,45
702,"conservation laws",2,45
703,"compact object",2,45
704,"stellar population",2,45
705,"low redshift",2,45
706,"long distance",2,45
707,"mass estimates",2,45
708,"resonance region",2,45
709,"surface brightness",2,45
710,"higher local",2,45
711,"observational constraints",2,45
712,"scale invariant",2,45
713,"qcd calculations",2,45
714,"line shape",2,44
715,"bethe ansatz",2,44
716,"characteristic features",2,44
717,"monte carlo methods",3,44
718,"transport through",2,44
719,"imaginary part",2,44
720,"special emphasis",2,44
721,"hot gas",2,44
722,"low metallicity",2,44
723,"mass fraction",2,44
724,"velocity field",2,44
725,"mean value",2,44
726,"real time",2,44
727,"perfect fluid",2,44
728,"gravitational collapse",2,44
729,"proton decay",2,44
730,"classical level",2,44
731,"relativistic heavy ion collisions",4,44
732,"central density",2,44
733,"quark matter",2,44
734,"qcd vacuum",2,44
735,"lattice spacing",2,43
736,"random walk",2,43
737,"metal insulator",2,43
738,"short time",2,43
739,"experimental observations",2,43
740,"field lines",2,43
741,"off diagonal",2,43
742,"halo stars",2,43
743,"cross over",2,43
744,"operator product",2,43
745,"parameter family",2,43
746,"equation describing",2,43
747,"scale structure",2,43
748,"loop approximation",2,43
749,"yang mills theory",3,43
750,"cosmic rays",2,43
751,"bar nu",2,43
752,"gamma collisions",2,43
753,"room temperature",2,42
754,"two dimensional ising model",4,42
755,"energy functional",2,42
756,"numerical techniques",2,42
757,"constraints imposed",2,42
758,"continuous time",2,42
759,"shot noise",2,42
760,"kondo effect",2,42
761,"parameter lambda",2,42
762,"fields part",2,42
763,"explicit formula",2,42
764,"zero momentum",2,42
765,"synchrotron radiation",2,42
766,"cooling flow",2,42
767,"local universe",2,42
768,"differential equation",2,42
769,"flat universe",2,42
770,"physical interpretation",2,42
771,"vacuum energy",2,42
772,"big bang",2,42
773,"strongly coupled",2,42
774,"chiral perturbation theory",3,42
775,"energy barrier",2,41
776,"simplest case",2,41
777,"high tc",2,41
778,"confining potential",2,41
779,"scaling limit",2,41
780,"correlation length",2,41
781,"large numbers",2,41
782,"high energy spectrum",3,41
783,"point correlation",2,41
784,"fourier transform",2,41
785,"quasi particle",2,41
786,"ward identities",2,41
787,"flux ratio",2,41
788,"ray binaries",2,41
789,"velocity fields",2,41
790,"alpha emission",2,41
791,"optical wavelengths",2,41
792,"radial velocity",2,41
793,"electromagnetic radiation",2,41
794,"curved spacetime",2,41
795,"algebraic geometry",2,41
796,"invariance under",2,41
797,"non degenerate",2,41
