rank,term,n_tokens,freq
1,"two dimensional",2,1020
2,"field theory",2,895
3,"high energy",2,714
4,"simple model",2,706
5,"magnetic field",2,692
6,"first order",2,689
7,"standard model",2,646
8,"experimental data",2,589
9,"ground state",2,579
10,"low energy",2,528
11,"large scale",2,493
12,"magnetic fields",2,452
13,"new physics",2,431
14,"large number",2,406
15,"non linear",2,402
16,"phase transition",2,390
17,"high resolution",2,388
18,"new approach",2,372
19,"three dimensional",2,361
20,"power law",2,348
21,"space time",2,346
22,"numerical simulations",2,342
23,"two dimensions",2,334
24,"phase space",2,327
25,"phys rev",2,326
26,"quantum mechanics",2,322
27,"time evolution",2,320
28,"mean field",2,319
29,"power spectrum",2,312
30,"dynamical systems",2,312
31,"two component",2,309
32,"low mass",2,308
33,"cross section",2,308
34,"two types",2,299
35,"cross sections",2,291
36,"perturbation theory",2,289
37,"gauge theories",2,281
38,"order parameter",2,281
39,"general relativity",2,274
40,"leading order",2,272
41,"effective potential",2,269
42,"three dimensions",2,268
43,"quantum gravity",2,261
44,"low temperature",2,261
45,"model independent",2,261
46,"special case",2,259
47,"new class",2,258
48,"physical properties",2,255
49,"ray sources",2,248
50,"phase diagram",2,246
51,"exact solutions",2,245
52,"time dependent",2,244
53,"boundary conditions",2,243
54,"second order",2,238
55,"cosmological models",2,236
56,"star formation",2,235
57,"optical spectra",2,229
58,"ray emission",2,229
59,"high temperature",2,228
60,"bound states",2,224
61,"effective action",2,221
62,"finite dimensional",2,221
63,"data set",2,219
64,"strong coupling",2,219
65,"many body",2,216
66,"cosmological constant",2,214
67,"superconducting state",2,214
68,"self consistent",2,214
69,"initial conditions",2,212
70,"distribution function",2,210
71,"angular momentum",2,208
72,"scalar field",2,208
73,"matrix model",2,203
74,"monte carlo",2,202
75,"local density",2,202
76,"non local",2,202
77,"theoretical models",2,201
78,"four dimensional",2,200
79,"monte carlo simulations",3,196
80,"energy density",2,196
81,"structure functions",2,196
82,"galaxy clusters",2,195
83,"quantum mechanical",2,195
84,"wave function",2,194
85,"final state",2,193
86,"field equations",2,193
87,"parameter space",2,190
88,"zero temperature",2,190
89,"string theory",2,189
90,"low frequency",2,188
91,"correlation functions",2,188
92,"black holes",2,187
93,"exact solution",2,187
94,"long time",2,185
95,"theoretical predictions",2,185
96,"sigma model",2,184
97,"long range",2,181
98,"matrix elements",2,181
99,"non zero",2,180
100,"electromagnetic field",2,179
101,"steady state",2,178
102,"non equilibrium",2,178
103,"dark matter",2,176
104,"system size",2,175
105,"large sample",2,174
106,"early universe",2,172
107,"lattice qcd",2,169
108,"transition temperature",2,166
109,"low temperatures",2,166
110,"spectral analysis",2,165
111,"higher dimensional",2,165
112,"energy distribution",2,164
113,"renormalization group",2,163
114,"detailed analysis",2,162
115,"initial state",2,162
116,"quantum fluctuations",2,161
117,"single particle",2,161
118,"local group",2,160
119,"time scales",2,159
120,"mass spectrum",2,159
121,"nearby galaxies",2,158
122,"critical point",2,157
123,"dark energy",2,156
124,"finite temperature",2,156
125,"self similar",2,155
126,"upper limit",2,155
127,"hamiltonian systems",2,155
128,"electronic structure",2,155
129,"correlation function",2,154
130,"non trivial",2,154
131,"chiral symmetry",2,154
132,"small values",2,152
133,"phase transitions",2,152
134,"numerical calculations",2,151
135,"moduli space",2,151
136,"gauge theory",2,151
137,"massive stars",2,150
138,"large class",2,150
139,"wide field",2,149
140,"mass function",2,147
141,"two photon",2,147
142,"fixed point",2,147
143,"numerical solutions",2,145
144,"entangled states",2,144
145,"coherent states",2,142
146,"least two",2,140
147,"cp violation",2,140
148,"type ii",2,139
149,"high temperatures",2,139
150,"statistical properties",2,139
151,"cosmological parameters",2,138
152,"chandra observations",2,137
153,"mass ratio",2,137
154,"matter fields",2,137
155,"wave functions",2,137
156,"two sets",2,136
157,"coupling constant",2,136
158,"hilbert space",2,136
159,"symmetry breaking",2,136
160,"spectral properties",2,135
161,"near infrared",2,134
162,"thin films",2,134
163,"quark mass",2,132
164,"neutron star",2,130
165,"black hole",2,130
166,"strong interactions",2,130
167,"continuum limit",2,130
168,"evolution equations",2,129
169,"temperature dependence",2,129
170,"gauge invariant",2,129
171,"probability distribution",2,128
172,"non perturbative",2,128
173,"first detection",2,127
174,"initial data",2,126
175,"numerical analysis",2,126
176,"complete set",2,126
177,"higher order",2,126
178,"invariant under",2,126
179,"meson decays",2,125
180,"lowest order",2,124
181,"dynamical properties",2,124
182,"lower bound",2,124
183,"form factors",2,124
184,"double well",2,123
185,"stellar mass",2,122
186,"structural properties",2,122
187,"numerical solution",2,122
188,"ground states",2,122
189,"critical value",2,121
190,"total energy",2,120
191,"time scale",2,120
192,"field theories",2,120
193,"quantum information",2,120
194,"arbitrary number",2,120
195,"central region",2,119
196,"upper limits",2,119
197,"high redshift",2,119
198,"information theory",2,119
199,"galaxy formation",2,118
200,"two body",2,118
201,"solid state",2,118
202,"small scale",2,118
203,"new mechanism",2,117
204,"partition function",2,117
205,"quantum corrections",2,117
206,"observational data",2,116
207,"scalar tensor",2,116
208,"large scale structure",3,116
209,"differential equation",2,116
210,"non thermal",2,115
211,"excited state",2,115
212,"second part",2,115
213,"form factor",2,115
214,"type stars",2,114
215,"finite size",2,114
216,"spherically symmetric",2,113
217,"general relativistic",2,113
218,"xmm newton",2,112
219,"statistical analysis",2,112
220,"extra dimensions",2,112
221,"tree level",2,112
222,"number density",2,111
223,"quantum dots",2,111
224,"two classes",2,110
225,"sufficient conditions",2,110
226,"supersymmetric models",2,110
227,"dispersion relation",2,109
228,"spin correlations",2,109
229,"two qubit",2,109
230,"pure state",2,109
231,"molecular gas",2,108
232,"time dependence",2,108
233,"binary system",2,108
234,"bound state",2,108
235,"total number",2,108
236,"single electron",2,108
237,"differential equations",2,108
238,"charged particle",2,107
239,"ray spectrum",2,107
240,"total mass",2,107
241,"gravitational potential",2,107
242,"dynamics simulations",2,107
243,"mean field theory",3,107
244,"theoretical calculations",2,106
245,"existing data",2,106
246,"shell model",2,106
247,"delta function",2,106
248,"harmonic oscillator",2,106
249,"stellar evolution",2,105
250,"sufficient condition",2,105
251,"free energy",2,105
252,"high precision",2,104
253,"radio sources",2,104
254,"sloan digital sky survey",4,104
255,"spin dependent",2,104
256,"conformal field theory",3,104
257,"kinetic energy",2,103
258,"mass distribution",2,103
259,"particle physics",2,103
260,"low surface",2,103
261,"first principles",2,103
262,"electric field",2,103
263,"gauge symmetry",2,103
264,"ginzburg landau",2,103
265,"energy distributions",2,102
266,"band structure",2,102
267,"zero point",2,102
268,"radiative corrections",2,102
269,"vector fields",2,102
270,"structure formation",2,101
271,"confidence level",2,101
272,"quantum computing",2,101
273,"closed form",2,101
274,"yang mills",2,101
275,"density fluctuations",2,100
276,"molecular dynamics",2,100
277,"light curve",2,99
278,"photometric observations",2,99
279,"emission line",2,99
280,"point source",2,99
281,"main features",2,99
282,"redshift survey",2,98
283,"pair production",2,98
284,"galactic disk",2,98
285,"frequency range",2,98
286,"pion nucleon",2,98
287,"finite volume",2,98
288,"lie algebra",2,98
289,"spectral lines",2,97
290,"dynamical evolution",2,97
291,"gauge couplings",2,97
292,"model predicts",2,97
293,"de sitter",2,97
294,"self energy",2,97
295,"non compact",2,97
296,"early type",2,96
297,"explicit form",2,96
298,"energy momentum",2,96
299,"two loop",2,96
300,"effective lagrangian",2,96
301,"large area",2,95
302,"host galaxies",2,95
303,"long term",2,95
304,"spectral type",2,95
305,"light curves",2,95
306,"thermodynamic limit",2,95
307,"current density",2,95
308,"upper bound",2,95
309,"specific heat",2,95
310,"random walk",2,94
311,"spin polarized",2,94
312,"heavy ion collisions",3,94
313,"elliptical galaxies",2,93
314,"zero modes",2,93
315,"plane wave",2,93
316,"high velocity",2,92
317,"single mode",2,92
318,"structure factor",2,92
319,"time series",2,90
320,"exchange interaction",2,90
321,"single photon",2,90
322,"lie group",2,90
323,"dust emission",2,89
324,"spin down",2,89
325,"exchange interactions",2,89
326,"spin chain",2,89
327,"infinite number",2,89
328,"critical current",2,88
329,"point like",2,88
330,"chemical potential",2,88
331,"light scattering",2,87
332,"flat space",2,87
333,"complex plane",2,87
334,"real time",2,87
335,"periodic potential",2,86
336,"spectral energy",2,86
337,"decay rate",2,86
338,"dirac equation",2,86
339,"effective hamiltonian",2,86
340,"probability distributions",2,85
341,"free parameters",2,85
342,"neutrino masses",2,85
343,"non relativistic",2,85
344,"external magnetic field",3,85
345,"quantum interference",2,85
346,"spectral index",2,84
347,"nuclear structure",2,84
348,"initial mass",2,84
349,"physical parameters",2,84
350,"short time",2,84
351,"particle production",2,84
352,"like behavior",2,84
353,"hubbard model",2,84
354,"symmetric group",2,84
355,"mean value",2,83
356,"solar system",2,83
357,"scalar field theory",3,83
358,"surface density",2,83
359,"velocity distribution",2,83
360,"physical conditions",2,83
361,"coulomb interaction",2,83
362,"weak coupling",2,83
363,"algebraic structure",2,83
364,"scattering amplitudes",2,82
365,"non degenerate",2,82
366,"integral equation",2,82
367,"low energies",2,82
368,"statistical mechanics",2,82
369,"fixed points",2,82
370,"upper bounds",2,82
371,"final states",2,82
372,"brane world",2,82
373,"probability density",2,81
374,"radio source",2,81
375,"thermal equilibrium",2,81
376,"single crystals",2,81
377,"branching ratios",2,81
378,"wmap data",2,80
379,"cosmological simulations",2,80
380,"luminosity function",2,80
381,"transport properties",2,80
382,"explicit formula",2,80
383,"central collisions",2,80
384,"hole mass",2,79
385,"geometric properties",2,79
386,"stat syst",2,79
387,"energy levels",2,79
388,"critical behavior",2,79
389,"higher dimensions",2,79
390,"euclidean space",2,79
391,"vector mesons",2,79
392,"spatial resolution",2,78
393,"configuration space",2,78
394,"excitation spectrum",2,78
395,"stellar systems",2,78
396,"broad range",2,78
397,"average number",2,78
398,"theoretical analysis",2,78
399,"numerical simulation",2,78
400,"path integral",2,78
401,"open string",2,78
402,"late type",2,77
403,"high redshifts",2,77
404,"fourier transform",2,77
405,"density profile",2,77
406,"electron density",2,77
407,"loop corrections",2,77
408,"irreducible representations",2,77
409,"quantum numbers",2,77
410,"square lattice",2,77
411,"perturbative qcd",2,77
412,"dark matter halo",3,76
413,"scalar fields",2,76
414,"stochastic process",2,76
415,"quantum critical",2,76
416,"fermi surface",2,76
417,"modules over",2,76
418,"young stars",2,75
419,"two dimensional 2d",3,75
420,"quark masses",2,75
421,"magnetic field theory",3,75
422,"functional theory",2,75
423,"infinite dimensional",2,75
424,"molecular dynamics simulations",3,75
425,"mass energies",2,75
426,"heavy quark",2,75
427,"first generation",2,74
428,"evolutionary models",2,74
429,"main sequence stars",3,74
430,"non gaussian",2,74
431,"mode coupling",2,74
432,"current voltage",2,74
433,"green function",2,74
434,"gauge field",2,74
435,"coupling constants",2,74
436,"combined analysis",2,73
437,"high frequency",2,73
438,"lower limit",2,73
439,"spectroscopic data",2,73
440,"interstellar medium",2,73
441,"higher spin",2,73
442,"non interacting",2,73
443,"electronic properties",2,73
444,"tensor product",2,73
445,"integrable systems",2,73
446,"non commutative",2,73
447,"gauge group",2,73
448,"inner disk",2,72
449,"data indicate",2,72
450,"relaxation time",2,72
451,"high energies",2,72
452,"higher values",2,72
453,"domain walls",2,72
454,"experimental observations",2,72
455,"short range",2,72
456,"small amplitude",2,72
457,"kinetic theory",2,72
458,"cond mat",2,72
459,"spin polarization",2,72
460,"binary systems",2,71
461,"normal state",2,71
462,"simple proof",2,71
463,"scattering processes",2,71
464,"ads cft correspondence",3,71
465,"branching ratio",2,71
466,"effective temperatures",2,70
467,"size distribution",2,70
468,"photometric data",2,70
469,"special emphasis",2,70
470,"elastic scattering",2,70
471,"systematic errors",2,70
472,"stable under",2,70
473,"excited states",2,70
474,"wave propagation",2,70
475,"single crystal",2,70
476,"compact objects",2,69
477,"structure constant",2,69
478,"body simulations",2,69
479,"range interactions",2,69
480,"gravity coupled",2,69
481,"semi classical",2,69
482,"non negative",2,69
483,"high efficiency",2,68
484,"strong constraints",2,68
485,"precision measurements",2,68
486,"transport through",2,68
487,"higgs boson",2,68
488,"dirac operator",2,68
489,"near ir",2,67
490,"distant galaxies",2,67
491,"point sources",2,67
492,"optical spectroscopy",2,67
493,"long period",2,67
494,"maximum value",2,67
495,"emission lines",2,67
496,"big bang",2,67
497,"numerical methods",2,67
498,"strong correlation",2,67
499,"multiple scattering",2,67
500,"gravitational wave",2,67
501,"diffusion equation",2,67
502,"magnetization measurements",2,67
503,"schr odinger",2,67
504,"asymptotic behavior",2,67
505,"near threshold",2,67
506,"sum over",2,67
507,"higher energies",2,66
508,"radial velocity",2,66
509,"magnetic flux",2,66
510,"decay constant",2,66
511,"fine tuning",2,66
512,"strongly correlated",2,66
513,"charged particles",2,66
514,"monte carlo simulation",3,66
515,"internal structure",2,66
516,"coordinate system",2,66
517,"thermal fluctuations",2,66
518,"mixed states",2,66
519,"self dual",2,66
520,"babar detector",2,66
521,"accretion disk",2,65
522,"zeta function",2,65
523,"rest frame",2,65
524,"line region",2,65
525,"special attention",2,65
526,"scattering amplitude",2,65
527,"cosmic microwave background",3,65
528,"during inflation",2,65
529,"vacuum einstein",2,65
530,"charged current",2,65
531,"scaling properties",2,65
532,"vacuum energy",2,65
533,"spin susceptibility",2,65
534,"universality class",2,65
535,"alpha beta",2,65
536,"quantum groups",2,65
537,"simply connected",2,65
538,"gravitational field",2,64
539,"fine structure",2,64
540,"stability analysis",2,64
541,"large enough",2,64
542,"coupling strength",2,64
543,"scaling behavior",2,64
544,"gravitational waves",2,64
545,"open problem",2,64
546,"time independent",2,64
547,"normal form",2,64
548,"superconducting gap",2,64
549,"optical lattice",2,64
550,"main theorem",2,64
551,"finitely generated",2,64
552,"models predict",2,63
553,"hot gas",2,63
554,"absorption features",2,63
555,"flat universe",2,63
556,"parameter family",2,63
557,"chiral perturbation theory",3,63
558,"linear collider",2,63
559,"large numbers",2,62
560,"galactic plane",2,62
561,"galactic center",2,62
562,"al nature",2,62
563,"heavy elements",2,62
564,"third order",2,62
565,"integrated luminosity",2,62
566,"nuclear matter",2,62
567,"strongly coupled",2,62
568,"ising model",2,62
569,"explicit expressions",2,62
570,"phase shift",2,62
571,"binding energy",2,62
572,"non vanishing",2,62
573,"phase transition temperature",3,62
574,"non abelian",2,62
575,"decay modes",2,62
576,"surface brightness",2,61
577,"red giant",2,61
578,"hubble space telescope",3,61
579,"bursts grbs",2,61
580,"neutron stars",2,61
581,"point correlation",2,61
582,"polarization measurements",2,61
583,"star clusters",2,61
584,"heavy ion",2,61
585,"noise level",2,61
586,"radiation induced",2,61
587,"briefly reviewed",2,61
588,"frequency dependent",2,61
589,"irreducible representation",2,61
590,"phase approximation",2,61
591,"nearest neighbor",2,61
592,"disordered systems",2,61
593,"optical depth",2,60
594,"kev band",2,60
595,"ab initio",2,60
596,"obtain information",2,60
597,"expected value",2,60
598,"experimental observation",2,60
599,"chiral symmetry breaking",3,60
600,"variational approach",2,60
601,"perfect fluid",2,60
602,"gamma rays",2,59
603,"absorption lines",2,59
604,"square well",2,59
605,"hard state",2,59
606,"potential applications",2,59
607,"distribution functions",2,59
608,"vector bundles",2,59
609,"strongly dependent",2,59
610,"scaling limit",2,59
611,"total cross sections",3,59
612,"gamma ray sources",3,58
613,"spherical symmetry",2,58
614,"model fits",2,58
615,"spectral variability",2,58
616,"time resolved",2,58
617,"redshift range",2,58
618,"column density",2,58
619,"gravitational collapse",2,58
620,"long distance",2,58
621,"kaluza klein",2,58
622,"scattering length",2,58
623,"random phase",2,58
624,"bose einstein condensate",3,58
625,"real part",2,58
626,"domain wall",2,58
627,"length scale",2,58
628,"spontaneously broken",2,58
629,"hadron colliders",2,58
630,"relative motion",2,57
631,"self consistently",2,57
632,"edge states",2,57
633,"galactic halo",2,57
634,"synchrotron radiation",2,57
635,"equivalence principle",2,57
636,"gravitational lensing",2,57
637,"disk galaxies",2,57
638,"quark matter",2,57
639,"direct measurement",2,57
640,"vacuum state",2,57
641,"physical processes",2,57
642,"maxwell equations",2,57
643,"exact diagonalization",2,57
644,"matrix models",2,57
645,"electron systems",2,57
646,"fermi liquid",2,57
647,"chiral limit",2,57
648,"lower bounds",2,57
649,"metric spaces",2,57
650,"five dimensional",2,57
651,"neutral hydrogen",2,56
652,"scaling relation",2,56
653,"spectral resolution",2,56
654,"proper motion",2,56
655,"field strength",2,56
656,"randall sundrum",2,56
657,"high performance",2,56
658,"bar nu",2,56
659,"spectroscopic observations",2,56
660,"charge transfer",2,56
661,"coherent state",2,56
662,"temperature dependent",2,56
663,"green functions",2,56
664,"random matrix",2,56
665,"spontaneous breaking",2,56
666,"short period",2,55
667,"density perturbations",2,55
668,"redshift quasars",2,55
669,"frequency dependence",2,55
670,"galaxy ngc",2,55
671,"self interaction",2,55
672,"planck scale",2,55
673,"test particle",2,55
674,"real numbers",2,55
675,"next generation",2,55
676,"lattice sites",2,55
677,"bose einstein condensates",3,55
678,"finite width",2,55
679,"optical lattices",2,55
680,"quantum computation",2,55
681,"critical temperature",2,55
682,"ab initio calculations",3,55
683,"magnetic ordering",2,55
684,"quantum dot",2,55
685,"transverse momentum",2,55
686,"conservation laws",2,55
687,"supersymmetry breaking",2,55
688,"accelerating universe",2,54
689,"detection limit",2,54
690,"ii regions",2,54
691,"synchrotron emission",2,54
692,"current understanding",2,54
693,"accurate measurements",2,54
694,"vacuum polarization",2,54
695,"scale free",2,54
696,"chemical evolution",2,54
697,"gamma ray",2,54
698,"lorentz invariance",2,54
699,"coupled channel",2,54
700,"heisenberg model",2,54
701,"non universal",2,54
702,"spontaneous symmetry breaking",3,54
703,"chern simons",2,54
704,"bright stars",2,53
705,"molecular cloud",2,53
706,"theoretical studies",2,53
707,"globular cluster",2,53
708,"cosmic rays",2,53
709,"radio jets",2,53
710,"solar masses",2,53
711,"sky survey",2,53
712,"oscillation parameters",2,53
713,"giving rise",2,53
714,"electromagnetic waves",2,53
715,"space time evolution",3,53
716,"atmospheric neutrinos",2,53
717,"nuclear medium",2,53
718,"chaotic systems",2,53
719,"quantum chaos",2,53
720,"von neumann",2,53
721,"quantum computer",2,53
722,"arbitrary dimension",2,53
723,"hadron production",2,53
724,"flux ratio",2,52
725,"electron ion",2,52
726,"exact calculation",2,52
727,"gamma ray emission",3,52
728,"analytical expressions",2,52
729,"non uniform",2,52
730,"pure states",2,52
731,"ray diffraction",2,52
732,"magnetic moments",2,52
733,"quant ph",2,52
734,"critical dimension",2,52
735,"off diagonal",2,52
736,"sum rules",2,52
737,"boundary condition",2,52
738,"fundamental group",2,52
739,"tev scale",2,52
740,"local universe",2,51
741,"noise ratio",2,51
742,"density profiles",2,51
743,"ionized gas",2,51
744,"non rotating",2,51
745,"gravitational radiation",2,51
746,"data sets",2,51
747,"gas phase",2,51
748,"xmm newton observation",3,51
749,"boundary states",2,51
750,"nuclear collisions",2,51
751,"radiation pressure",2,50
752,"spectroscopic redshifts",2,50
753,"deep field",2,50
754,"multi band",2,50
755,"main sequence",2,50
756,"core collapse",2,50
757,"electromagnetic field theory",3,50
758,"linear polarization",2,50
759,"flux density",2,50
760,"spectroscopic survey",2,50
761,"xmm newton observations",3,50
762,"absorption line",2,50
763,"relativistic particles",2,50
764,"scale factor",2,50
765,"small perturbations",2,50
766,"boltzmann equation",2,50
767,"excitation spectra",2,50
768,"dispersion relations",2,50
769,"low lying",2,50
770,"bell inequality",2,50
771,"input output",2,50
772,"response function",2,50
773,"non singular",2,50
774,"short distance",2,50
775,"inner product",2,50
776,"rare decays",2,50
777,"su yang mills",3,50
778,"broad line",2,49
779,"velocity distributions",2,49
780,"inflationary cosmology",2,49
781,"high sensitivity",2,49
782,"branching fractions",2,49
783,"non stationary",2,49
784,"cross correlation",2,49
785,"scale structure",2,49
786,"high energy density",3,49
787,"deep survey",2,49
788,"small angle",2,49
789,"intergalactic medium",2,49
790,"massive particles",2,49
791,"pattern formation",2,49
792,"neutron scattering",2,49
793,"loop level",2,49
794,"invariance under",2,49
795,"entangled state",2,49
796,"master equation",2,49
797,"level atom",2,49
798,"lattice spacing",2,49
799,"characteristic zero",2,49
800,"first principles calculations",3,49
801,"superconducting transition",2,49
802,"feshbach resonance",2,49
803,"algebraic approach",2,49
804,"control parameters",2,49
805,"generating function",2,49
806,"electric charge",2,49
807,"light front",2,49
808,"explicit construction",2,49
809,"branching fraction",2,49
810,"compact object",2,48
811,"wave background",2,48
812,"charge exchange",2,48
813,"linear stability",2,48
814,"cluster abell",2,48
815,"globular clusters",2,48
816,"length scales",2,48
817,"time delay",2,48
818,"asymptotic expansion",2,48
819,"two loops",2,48
820,"linear response",2,48
821,"noncommutative geometry",2,48
822,"gaussian random",2,48
823,"universal behavior",2,48
824,"transformation properties",2,48
825,"moduli spaces",2,48
826,"projective space",2,48
827,"pb collisions",2,48
828,"differential cross sections",3,48
829,"nucleon interaction",2,48
830,"angular scales",2,47
831,"spiral galaxies",2,47
832,"variable stars",2,47
833,"unstable modes",2,47
834,"radiative transfer",2,47
835,"scaling analysis",2,47
836,"decay amplitudes",2,47
837,"wide class",2,47
838,"light nuclei",2,47
839,"positive characteristic",2,47
840,"odd parity",2,47
841,"strongly interacting",2,47
842,"quantitative analysis",2,47
843,"time domain",2,47
844,"stationary state",2,47
845,"variational principle",2,47
846,"discrete spectrum",2,47
847,"expectation value",2,47
848,"complex numbers",2,47
849,"invariant mass",2,47
850,"riemannian manifold",2,47
851,"decay width",2,47
852,"light cone",2,47
853,"within kpc",2,46
854,"event rate",2,46
855,"white dwarf",2,46
856,"fundamental parameters",2,46
857,"fundamental representation",2,46
858,"rxte observations",2,46
859,"central star",2,46
860,"spatial scales",2,46
861,"multi dimensional",2,46
862,"expansion rate",2,46
863,"asymptotic behaviour",2,46
864,"population dynamics",2,46
865,"nonlinear regime",2,46
866,"power series",2,46
867,"physical quantities",2,46
868,"spin glasses",2,46
869,"unit cell",2,46
870,"electron hole",2,46
871,"elliptic curves",2,46
872,"density matrix",2,46
873,"weakly coupled",2,46
874,"entanglement measure",2,46
875,"dimensional reduction",2,46
876,"impact parameter",2,46
877,"neutrino mass",2,46
878,"finitely many",2,46
879,"symplectic manifold",2,46
880,"complete classification",2,46
881,"theta functions",2,45
882,"intermediate mass",2,45
883,"broad band",2,45
884,"well correlated",2,45
885,"quantum cosmology",2,45
886,"physical observables",2,45
887,"nuclear physics",2,45
888,"combined effect",2,45
889,"near horizon",2,45
890,"schrodinger equation",2,45
891,"computer simulations",2,45
892,"non adiabatic",2,45
893,"leading term",2,45
894,"room temperature",2,45
895,"metal insulator",2,45
896,"mapping class",2,45
897,"maximum entropy",2,45
898,"density matrices",2,45
899,"cuprate superconductors",2,45
900,"critical exponents",2,45
901,"ideal gas",2,45
902,"proximity effect",2,45
903,"agrees well",2,45
904,"physical mechanism",2,45
905,"stochastic processes",2,45
906,"differential operator",2,45
907,"partial wave",2,45
908,"integrable system",2,45
909,"companion star",2,44
910,"quintessence models",2,44
911,"proper motions",2,44
912,"lorentz violation",2,44
913,"dense matter",2,44
914,"sigma level",2,44
915,"orbit interaction",2,44
