rank,term,n_tokens,freq
1,"two dimensional",2,577
2,"standard model",2,562
3,"field theory",2,396
4,"phase transition",2,351
5,"experimental data",2,332
6,"first order",2,321
7,"quantum field",2,309
8,"low energy",2,293
9,"ground state",2,290
10,"high energy",2,279
11,"finite dimensional",2,268
12,"second order",2,254
13,"low temperature",2,253
14,"effective action",2,233
15,"low mass",2,230
16,"phase space",2,229
17,"wave function",2,226
18,"cross section",2,226
19,"cross sections",2,224
20,"large number",2,221
21,"leading order",2,221
22,"numerical simulations",2,220
23,"two dimensions",2,215
24,"perturbation theory",2,210
25,"power law",2,208
26,"string theory",2,204
27,"quantum field theory",3,203
28,"non linear",2,202
29,"magnetic field",2,202
30,"energy spectrum",2,198
31,"space time",2,192
32,"new approach",2,190
33,"higher order",2,187
34,"effective potential",2,187
35,"new physics",2,178
36,"energy density",2,171
37,"model independent",2,169
38,"quantum mechanics",2,167
39,"three dimensional",2,167
40,"bound state",2,166
41,"black holes",2,166
42,"non perturbative",2,163
43,"zero temperature",2,157
44,"structure functions",2,154
45,"cosmological models",2,153
46,"gauge theories",2,152
47,"symmetry breaking",2,149
48,"finite temperature",2,147
49,"mean field",2,145
50,"non local",2,143
51,"self consistent",2,141
52,"parameter space",2,141
53,"free energy",2,140
54,"structure function",2,140
55,"order parameter",2,138
56,"general relativity",2,138
57,"cp violation",2,138
58,"quark mass",2,138
59,"time dependent",2,136
60,"boundary conditions",2,133
61,"time evolution",2,133
62,"matrix theory",2,132
63,"high energies",2,131
64,"moduli space",2,131
65,"matrix elements",2,127
66,"new class",2,126
67,"mass spectrum",2,125
68,"high resolution",2,125
69,"non zero",2,123
70,"coupling constant",2,123
71,"perturbative qcd",2,122
72,"special case",2,121
73,"monte carlo simulations",3,121
74,"phys rev",2,120
75,"monte carlo",2,119
76,"final state",2,118
77,"gauge theory",2,118
78,"exact solutions",2,117
79,"renormalization group",2,117
80,"dynamical systems",2,116
81,"long range",2,115
82,"total energy",2,115
83,"heavy quark",2,115
84,"classical limit",2,114
85,"initial conditions",2,114
86,"gauge symmetry",2,114
87,"four dimensional",2,112
88,"two component",2,112
89,"distribution function",2,112
90,"non trivial",2,111
91,"ground states",2,110
92,"system size",2,110
93,"strong interactions",2,110
94,"gauge invariant",2,107
95,"fixed point",2,107
96,"specific heat",2,107
97,"weak coupling",2,106
98,"matter fields",2,106
99,"distribution functions",2,104
100,"statistical properties",2,104
101,"correlation functions",2,104
102,"sigma model",2,104
103,"black hole",2,104
104,"numerical calculations",2,103
105,"large scale",2,103
106,"dynamical properties",2,102
107,"single particle",2,100
108,"low frequency",2,99
109,"quantum fluctuations",2,99
110,"exact solution",2,99
111,"tree level",2,98
112,"two loop",2,98
113,"neutron stars",2,98
114,"dark matter",2,98
115,"continuum limit",2,97
116,"angular momentum",2,95
117,"two photon",2,94
118,"high temperature",2,94
119,"bound states",2,93
120,"probability distribution",2,92
121,"critical behavior",2,92
122,"form factor",2,92
123,"quantum gravity",2,91
124,"correlation function",2,91
125,"four dimensions",2,91
126,"strong coupling",2,91
127,"lattice qcd",2,91
128,"non relativistic",2,90
129,"gravitational field",2,90
130,"pair production",2,90
131,"form factors",2,90
132,"finite size",2,89
133,"type ii",2,89
134,"spherically symmetric",2,89
135,"galaxy formation",2,89
136,"initial state",2,88
137,"evolution equations",2,88
138,"two body",2,88
139,"two types",2,88
140,"beta function",2,87
141,"small scale",2,87
142,"yang mills",2,86
143,"three dimensions",2,86
144,"critical value",2,86
145,"field equations",2,85
146,"radiative corrections",2,84
147,"early universe",2,84
148,"redshift survey",2,83
149,"spectral properties",2,82
150,"meson decays",2,82
151,"supersymmetric gauge theories",3,82
152,"detailed analysis",2,81
153,"hera data",2,81
154,"coherent state",2,79
155,"low density",2,79
156,"theoretical predictions",2,79
157,"large class",2,78
158,"theoretical models",2,78
159,"group su",2,77
160,"wave functions",2,77
161,"invariant under",2,77
162,"loop level",2,77
163,"high redshift",2,77
164,"non abelian",2,76
165,"magnetic fields",2,76
166,"monte carlo simulation",3,76
167,"lie algebra",2,75
168,"many body",2,75
169,"quantum groups",2,74
170,"number density",2,74
171,"decay rate",2,74
172,"power spectrum",2,74
173,"physical properties",2,73
174,"critical temperature",2,73
175,"effective lagrangian",2,73
176,"galaxy clusters",2,73
177,"available data",2,73
178,"self dual",2,72
179,"coupling constants",2,72
180,"seiberg witten",2,71
181,"excited states",2,70
182,"new mechanism",2,70
183,"low energies",2,70
184,"electron system",2,70
185,"phase diagram",2,70
186,"chiral lagrangian",2,70
187,"chiral limit",2,70
188,"correlation length",2,70
189,"ray emission",2,70
190,"deep inelastic scattering",3,70
191,"lowest order",2,69
192,"quantum mechanical",2,69
193,"scaling behavior",2,69
194,"explicit form",2,69
195,"matrix models",2,67
196,"spin wave",2,67
197,"ray luminosity",2,67
198,"nearby galaxies",2,67
199,"light quarks",2,67
200,"coulomb interaction",2,66
201,"branching ratio",2,66
202,"wilson action",2,66
203,"hilbert space",2,65
204,"phase transitions",2,65
205,"arbitrary number",2,64
206,"spectral function",2,64
207,"point like",2,64
208,"light curves",2,64
209,"temperature dependence",2,64
210,"non equilibrium",2,63
211,"spin chain",2,63
212,"hubbard model",2,63
213,"spontaneously broken",2,63
214,"shell model",2,63
215,"elliptical galaxies",2,63
216,"gravitational radiation",2,63
217,"density fluctuations",2,63
218,"sum rules",2,62
219,"scalar field",2,62
220,"seyfert galaxies",2,62
221,"mass distribution",2,62
222,"stellar evolution",2,62
223,"structure formation",2,62
224,"chaotic dynamics",2,61
225,"spontaneous symmetry breaking",3,61
226,"lower bound",2,61
227,"chemical potential",2,61
228,"time dependence",2,61
229,"decay rates",2,61
230,"conformal field theory",3,61
231,"vector fields",2,61
232,"ising model",2,61
233,"disk galaxies",2,61
234,"closed form",2,60
235,"quantum computation",2,60
236,"large enough",2,60
237,"delta function",2,60
238,"real space",2,60
239,"charged particles",2,60
240,"off shell",2,60
241,"square lattice",2,60
242,"radio galaxies",2,60
243,"qcd corrections",2,60
244,"fermi surface",2,59
245,"general relativistic",2,59
246,"high temperatures",2,59
247,"body simulations",2,59
248,"large amplitude",2,59
249,"particle physics",2,58
250,"path integral",2,58
251,"velocity field",2,58
252,"magnetic field theory",3,58
253,"critical point",2,58
254,"lower limit",2,58
255,"mean field theory",3,58
256,"existing data",2,58
257,"complete set",2,57
258,"decay width",2,57
259,"light cone",2,57
260,"data set",2,57
261,"solar models",2,57
262,"effective hamiltonian",2,57
263,"momentum space",2,56
264,"hamiltonian formalism",2,56
265,"scaling properties",2,56
266,"superconducting state",2,56
267,"left right",2,56
268,"local density",2,56
269,"world volume",2,56
270,"moduli spaces",2,56
271,"ginzburg landau",2,56
272,"solar masses",2,56
273,"final states",2,56
274,"coherent states",2,55
275,"magnetic flux",2,55
276,"least two",2,55
277,"irreducible representations",2,55
278,"heisenberg model",2,55
279,"chern simons",2,55
280,"domain walls",2,55
281,"loop corrections",2,55
282,"star formation",2,55
283,"bar nu",2,55
284,"dirac equation",2,54
285,"binary system",2,54
286,"configuration space",2,54
287,"spin correlations",2,54
288,"functional theory",2,54
289,"classical level",2,54
290,"two sets",2,54
291,"semi classical",2,54
292,"strongly coupled",2,54
293,"weak scale",2,54
294,"short distance",2,54
295,"momentum distribution",2,54
296,"upper bounds",2,53
297,"integrable models",2,53
298,"density matrix",2,53
299,"discrete time",2,53
300,"self interaction",2,53
301,"spatial distribution",2,53
302,"infinite dimensional",2,53
303,"differential equations",2,53
304,"particle number",2,53
305,"bps states",2,53
306,"chiral symmetry breaking",3,53
307,"chiral symmetry",2,53
308,"stellar mass",2,53
309,"nuclear matter",2,53
310,"linear response",2,52
311,"new phenomena",2,52
312,"scattering amplitude",2,52
313,"statistical mechanics",2,52
314,"time scale",2,52
315,"charged particle",2,52
316,"parton model",2,52
317,"thermodynamic limit",2,52
318,"hole solutions",2,52
319,"yukawa couplings",2,52
320,"spin dependent",2,52
321,"fermion mass",2,52
322,"local group",2,52
323,"higgs boson",2,52
324,"radio sources",2,52
325,"vector mesons",2,52
326,"quantum numbers",2,51
327,"field theories",2,51
328,"double well",2,51
329,"point source",2,51
330,"galaxy ngc",2,51
331,"magnetic moment",2,51
332,"transverse momentum",2,51
333,"near threshold",2,51
334,"interacting particles",2,50
335,"scattering amplitudes",2,50
336,"momentum dependence",2,50
337,"heavy ion collisions",3,50
338,"theoretical framework",2,50
339,"steady state",2,50
340,"zero modes",2,50
341,"charged current",2,50
342,"model predicts",2,50
343,"self energy",2,50
344,"star clusters",2,50
345,"luminosity function",2,50
346,"upper limits",2,50
347,"proton collisions",2,50
348,"pb collisions",2,50
349,"molecular dynamics",2,50
350,"precision measurements",2,49
351,"theoretical calculations",2,49
352,"particle production",2,49
353,"interaction strength",2,49
354,"rich clusters",2,49
355,"faint galaxies",2,49
356,"supersymmetry breaking",2,49
357,"deep inelastic",2,49
358,"computer simulations",2,48
359,"special emphasis",2,48
360,"upper bound",2,48
361,"vector like",2,48
362,"electric fields",2,48
363,"green function",2,48
364,"dynamical fermions",2,48
365,"critical exponents",2,48
366,"einstein gravity",2,48
367,"gamma ray bursts",3,48
368,"electron systems",2,48
369,"anomalous couplings",2,48
370,"relaxation time",2,47
371,"approximation scheme",2,47
372,"non interacting",2,47
373,"free parameters",2,47
374,"dense matter",2,47
375,"short range",2,47
376,"exact diagonalization",2,47
377,"sum over",2,47
378,"long distance",2,47
379,"upper limit",2,47
380,"cold dark matter",3,47
381,"optical depth",2,47
382,"rest frame",2,47
383,"master equation",2,46
384,"pure state",2,46
385,"random phase",2,46
386,"systematic errors",2,46
387,"physical quantities",2,46
388,"general features",2,46
389,"asymptotic expansion",2,46
390,"real time",2,46
391,"differential equation",2,46
392,"gauge field",2,46
393,"low energy spectrum",3,46
394,"cosmic strings",2,46
395,"weakly coupled",2,46
396,"neutron star",2,46
397,"binary systems",2,46
398,"total cross section",3,46
399,"parton distributions",2,46
400,"short time",2,45
401,"line region",2,45
402,"canonical quantization",2,45
403,"quantum field theories",3,45
404,"partition function",2,45
405,"soliton solutions",2,45
406,"supersymmetric qcd",2,45
407,"gravitational collapse",2,45
408,"string theories",2,45
409,"central charge",2,45
410,"topological defects",2,45
411,"universality class",2,45
412,"point correlation",2,45
413,"power spectra",2,45
414,"accretion disk",2,45
415,"large scale structure",3,45
416,"galactic halo",2,45
417,"low temperatures",2,45
418,"lattice gas",2,44
419,"dirac operator",2,44
420,"briefly reviewed",2,44
421,"value problem",2,44
422,"high precision",2,44
423,"infinite number",2,44
424,"exchange interaction",2,44
425,"scalar fields",2,44
426,"dimensional reduction",2,44
427,"schwinger model",2,44
428,"observational data",2,44
429,"inner disk",2,44
430,"near infrared",2,44
431,"thermal equilibrium",2,44
432,"pion nucleon",2,44
433,"finite volume",2,43
434,"open systems",2,43
435,"infinite set",2,43
436,"non gaussian",2,43
437,"localized states",2,43
438,"massless scalar",2,43
439,"energy levels",2,43
440,"spectral density",2,43
441,"exact calculation",2,43
442,"internal energy",2,43
443,"kinetic equation",2,43
444,"experimental measurements",2,43
445,"velocity dispersion",2,43
446,"gauge group",2,43
447,"non perturbative qcd",3,43
448,"hot gas",2,43
449,"chiral perturbation theory",3,43
450,"physical interpretation",2,42
451,"kinetic theory",2,42
452,"noncommutative geometry",2,42
453,"scalar curvature",2,42
454,"quantum corrections",2,42
455,"back reaction",2,42
456,"initial data",2,42
457,"non vanishing",2,42
458,"neutron scattering",2,42
459,"self similar",2,42
460,"spin fluctuations",2,42
461,"operator product expansion",3,42
462,"fine tuning",2,42
463,"statistical analysis",2,42
464,"cosmological constant",2,42
465,"solar neutrinos",2,42
466,"ray spectrum",2,42
467,"broad band",2,42
468,"nuclear collisions",2,42
469,"single mode",2,41
470,"quantum information",2,41
471,"single photon",2,41
472,"asymptotic behavior",2,41
473,"sum rule",2,41
474,"electromagnetic fields",2,41
475,"optical potential",2,41
476,"vacuum polarization",2,41
477,"scattering processes",2,41
478,"scalar field theory",3,41
479,"fixed points",2,41
480,"bursts grbs",2,41
481,"interstellar medium",2,41
482,"dispersion relation",2,41
483,"early type",2,41
484,"radial distribution",2,41
485,"thermal fluctuations",2,41
