rank,term,n_tokens,freq
1,"two dimensional",2,1159
2,"first order",2,968
3,"magnetic field",2,879
4,"standard model",2,782
5,"field theory",2,725
6,"ground state",2,722
7,"low energy",2,664
8,"phase transition",2,645
9,"new approach",2,606
10,"numerical simulations",2,585
11,"high resolution",2,513
12,"power law",2,507
13,"experimental data",2,499
14,"non linear",2,492
15,"phase space",2,482
16,"high temperature",2,471
17,"high energy",2,459
18,"space time",2,453
19,"large number",2,453
20,"phys rev",2,439
21,"perturbation theory",2,427
22,"time dependent",2,412
23,"quantum mechanics",2,406
24,"energy spectrum",2,390
25,"dynamical systems",2,368
26,"large scale",2,368
27,"wave function",2,358
28,"finite dimensional",2,358
29,"two dimensions",2,355
30,"new class",2,351
31,"second order",2,330
32,"zero temperature",2,329
33,"general relativity",2,327
34,"non trivial",2,326
35,"special case",2,319
36,"spectral properties",2,318
37,"three dimensional",2,310
38,"low mass",2,308
39,"gauge theory",2,307
40,"data set",2,305
41,"black hole",2,296
42,"higher dimensional",2,295
43,"boundary conditions",2,287
44,"dark matter",2,279
45,"new physics",2,278
46,"critical point",2,276
47,"physical properties",2,273
48,"higher order",2,272
49,"long range",2,269
50,"star formation",2,269
51,"lattice qcd",2,268
52,"non zero",2,266
53,"leading order",2,266
54,"large class",2,261
55,"model independent",2,260
56,"mean field",2,258
57,"single particle",2,256
58,"low temperature",2,256
59,"temperature dependence",2,254
60,"order parameter",2,253
61,"low temperatures",2,250
62,"detailed analysis",2,250
63,"non local",2,244
64,"two types",2,241
65,"non perturbative",2,239
66,"distribution function",2,238
67,"complex structure",2,238
68,"two photon",2,236
69,"parameter space",2,236
70,"self consistent",2,235
71,"two component",2,234
72,"strong coupling",2,233
73,"sufficient conditions",2,230
74,"available data",2,227
75,"quantum information",2,226
76,"time evolution",2,226
77,"high redshift",2,224
78,"free energy",2,222
79,"energy distribution",2,219
80,"quantum fluctuations",2,219
81,"spin dynamics",2,218
82,"number density",2,215
83,"invariant under",2,214
84,"theoretical models",2,214
85,"hilbert space",2,213
86,"monte carlo simulations",3,211
87,"local density",2,208
88,"system size",2,208
89,"magnetic fields",2,207
90,"correlation function",2,206
91,"exact solution",2,206
92,"effective potential",2,205
93,"finite size",2,204
94,"arbitrary number",2,203
95,"early universe",2,203
96,"angular momentum",2,203
97,"coherent states",2,200
98,"einstein equations",2,200
99,"cross sections",2,200
100,"cosmological models",2,196
101,"field equations",2,195
102,"type ii",2,195
103,"large sample",2,195
104,"cosmological constant",2,193
105,"lower bounds",2,192
106,"long time",2,192
107,"monte carlo",2,190
108,"initial state",2,190
109,"many body",2,188
110,"weak coupling",2,188
111,"self energy",2,187
112,"structure functions",2,186
113,"neutron star",2,186
114,"mass spectrum",2,186
115,"cross section",2,186
116,"energy density",2,183
117,"sigma model",2,183
118,"correlation functions",2,182
119,"ray emission",2,182
120,"complete set",2,181
121,"mass function",2,181
122,"upper limit",2,179
123,"initial conditions",2,179
124,"two classes",2,179
125,"superconducting state",2,177
126,"renormalization group",2,176
127,"string theory",2,176
128,"energy distributions",2,175
129,"galaxy clusters",2,175
130,"numerical calculations",2,175
131,"vector space",2,173
132,"mass distribution",2,172
133,"exact solutions",2,172
134,"final state",2,171
135,"four dimensional",2,170
136,"phase diagram",2,170
137,"bound state",2,167
138,"star clusters",2,166
139,"non equilibrium",2,165
140,"high frequency",2,165
141,"gauge fields",2,164
142,"quantum gravity",2,164
143,"scalar fields",2,161
144,"upper bound",2,161
145,"effective field",2,160
146,"closed form",2,159
147,"representation theory",2,159
148,"fixed point",2,159
149,"theoretical predictions",2,159
150,"steady state",2,158
151,"matrix elements",2,158
152,"bound states",2,158
153,"lower bound",2,157
154,"massive stars",2,157
155,"statistical properties",2,157
156,"effective action",2,157
157,"phase transitions",2,156
158,"real space",2,156
159,"two body",2,155
160,"total energy",2,155
161,"binary system",2,155
162,"two components",2,155
163,"time scale",2,154
164,"quark masses",2,151
165,"two approaches",2,150
166,"moduli space",2,150
167,"dynamical evolution",2,149
168,"non relativistic",2,147
169,"electron systems",2,147
170,"binary systems",2,147
171,"optical spectroscopy",2,147
172,"structural properties",2,146
173,"symmetry breaking",2,146
174,"second part",2,145
175,"field strength",2,144
176,"infinite number",2,144
177,"decay rate",2,144
178,"quantum mechanical",2,143
179,"spin polarization",2,143
180,"partition function",2,142
181,"coupling constant",2,142
182,"strongly coupled",2,141
183,"critical value",2,141
184,"spherically symmetric",2,140
185,"three dimensions",2,140
186,"particle physics",2,140
187,"self similar",2,139
188,"least two",2,139
189,"finite temperature",2,139
190,"form factor",2,139
191,"entangled state",2,137
192,"mean field theory",3,137
193,"ray spectrum",2,137
194,"dark energy",2,137
195,"mass ratio",2,137
196,"total number",2,136
197,"scalar field",2,136
198,"effective mass",2,136
199,"frequency range",2,134
200,"sufficient condition",2,133
201,"continuous time",2,133
202,"vector fields",2,133
203,"band structure",2,133
204,"dirac equation",2,132
205,"probability distribution",2,132
206,"symmetric group",2,131
207,"effective hamiltonian",2,131
208,"numerical solution",2,131
209,"dynamics simulations",2,131
210,"real time",2,130
211,"probability density",2,130
212,"lie group",2,130
213,"chandra observations",2,130
214,"two qubit",2,129
215,"random matrix",2,128
216,"optical spectra",2,128
217,"critical behavior",2,128
218,"tree level",2,128
219,"differential equations",2,127
220,"special relativity",2,127
221,"galaxy formation",2,127
222,"molecular gas",2,127
223,"spin wave",2,126
224,"black holes",2,126
225,"finitely generated",2,126
226,"sum over",2,125
227,"hubbard model",2,125
228,"large numbers",2,124
229,"stochastic processes",2,124
230,"point sources",2,124
231,"stellar mass",2,124
232,"power spectrum",2,124
233,"spectral density",2,124
234,"upper limits",2,123
235,"sloan digital sky survey",4,122
236,"global properties",2,121
237,"emission line",2,121
238,"electronic properties",2,121
239,"initial states",2,120
240,"simple proof",2,120
241,"pure states",2,120
242,"general relativistic",2,120
243,"large amplitude",2,120
244,"spin chain",2,119
245,"first observation",2,119
246,"asymptotic behavior",2,118
247,"non compact",2,118
248,"first principles",2,117
249,"two loop",2,117
250,"initial data",2,117
251,"non gaussian",2,116
252,"free particle",2,116
253,"green functions",2,116
254,"magnetic field theory",3,116
255,"effective temperature",2,116
256,"specific heat",2,116
257,"current voltage",2,116
258,"thin films",2,116
259,"physical parameters",2,115
260,"light curves",2,115
261,"spin chains",2,114
262,"precision measurements",2,114
263,"short distance",2,114
264,"broad range",2,114
265,"spectral type",2,114
266,"quantum dots",2,114
267,"coherent state",2,113
268,"main features",2,113
269,"absorption lines",2,113
270,"central region",2,113
271,"xmm newton",2,113
272,"hall effect",2,113
273,"near infrared",2,113
274,"excited states",2,113
275,"electronic structure",2,113
276,"spin dependent",2,113
277,"mixed state",2,112
278,"cp violation",2,112
279,"free parameters",2,112
280,"optical lattices",2,112
281,"small scale",2,112
282,"light curve",2,112
283,"existing data",2,112
284,"differential equation",2,112
285,"electric charge",2,111
286,"early type",2,111
287,"spectroscopic observations",2,111
288,"wide field",2,111
289,"scalar field theory",3,111
290,"theoretical analysis",2,111
291,"short range",2,110
292,"exchange interaction",2,110
293,"double well",2,109
294,"single crystals",2,109
295,"complex plane",2,109
296,"structure factor",2,109
297,"gravitational collapse",2,109
298,"solar system",2,109
299,"structure formation",2,109
300,"massive galaxies",2,109
301,"de sitter",2,109
302,"fixed points",2,109
303,"chiral symmetry",2,109
304,"neutrino masses",2,109
305,"evolution equations",2,108
306,"spectroscopic data",2,108
307,"solar masses",2,108
308,"green function",2,108
309,"complex networks",2,108
310,"structure constant",2,107
311,"density profiles",2,107
312,"local group",2,107
313,"spectral analysis",2,107
314,"single crystal",2,107
315,"mathematical model",2,106
316,"thermodynamic limit",2,106
317,"model predicts",2,106
318,"relaxation time",2,106
319,"loop corrections",2,106
320,"range interactions",2,106
321,"form factors",2,106
322,"energy levels",2,105
323,"quantum computation",2,105
324,"density matrix",2,105
325,"diffusion equation",2,105
326,"radio sources",2,105
327,"radio emission",2,105
328,"numerical methods",2,105
329,"galactic center",2,105
330,"transport properties",2,105
331,"four point",2,105
332,"quantum interference",2,104
333,"thermal equilibrium",2,104
334,"point like",2,104
335,"phenomenological model",2,104
336,"confidence level",2,104
337,"quark mass",2,104
338,"short time",2,103
339,"total mass",2,103
340,"fundamental group",2,103
341,"radiative corrections",2,102
342,"random walk",2,102
343,"extra dimensions",2,102
344,"high quality",2,102
345,"gravitational field",2,102
346,"value problem",2,102
347,"continuum limit",2,102
348,"probability distributions",2,101
349,"long term",2,101
350,"square lattice",2,101
351,"wave functions",2,101
352,"constant curvature",2,100
353,"xmm newton observations",3,100
354,"asymptotic properties",2,100
355,"arbitrary dimension",2,99
356,"low luminosity",2,99
357,"type stars",2,99
358,"inelastic scattering",2,99
359,"high energies",2,99
360,"yang mills",2,98
361,"matrix models",2,98
362,"cosmological simulations",2,98
363,"decay modes",2,98
364,"critical temperature",2,98
365,"effective field theory",3,98
366,"stat syst",2,98
367,"external magnetic field",3,97
368,"transverse momentum",2,97
369,"random variables",2,97
370,"main sequence",2,97
371,"electric field",2,97
372,"optical lattice",2,97
373,"bose einstein condensate",3,97
374,"irreducible representations",2,97
375,"charged particle",2,96
376,"experimental observation",2,96
377,"scaling limit",2,96
378,"low frequency",2,96
379,"radio source",2,96
380,"light scattering",2,96
381,"small amplitude",2,96
382,"monte carlo simulation",3,96
383,"strong magnetic field",3,96
384,"fermi surface",2,96
385,"harmonic oscillator",2,95
386,"field theories",2,95
387,"vacuum state",2,94
388,"molecular dynamics",2,94
389,"chemical potential",2,94
390,"semi classical",2,94
391,"statistical mechanics",2,93
392,"disk galaxies",2,93
393,"stellar objects",2,93
394,"matter fields",2,93
395,"critical points",2,93
396,"alpha beta",2,92
397,"lie algebras",2,92
398,"ray binaries",2,92
399,"single electron",2,92
400,"gravitational waves",2,92
401,"solid state",2,92
402,"coulomb interaction",2,92
403,"single stars",2,91
404,"exchange interactions",2,91
405,"interaction strength",2,91
406,"time series",2,91
407,"necessary condition",2,91
408,"ab initio",2,91
409,"molecular dynamics simulations",3,91
410,"cross correlation",2,90
411,"scale factor",2,90
412,"time domain",2,90
413,"cosmological parameters",2,90
414,"theoretical calculations",2,90
415,"data sets",2,90
416,"physical quantities",2,90
417,"current fluctuations",2,89
418,"first generation",2,89
419,"low lying",2,89
420,"high velocity",2,89
421,"vacuum energy",2,89
422,"finite volume",2,88
423,"smooth manifold",2,88
424,"analytical solutions",2,88
425,"nuclear matter",2,88
426,"heavy quark",2,88
427,"generating functions",2,87
428,"electron transport",2,87
429,"long range interactions",3,87
430,"cosmic ray",2,87
431,"sky survey",2,87
432,"nuclear reactions",2,87
433,"kinetic theory",2,87
434,"charged particles",2,87
435,"neutron stars",2,87
436,"mean value",2,87
437,"path integral",2,87
438,"gauge theories",2,87
439,"radiation field",2,86
440,"explicit construction",2,86
441,"triangular lattice",2,86
442,"ising model",2,86
443,"non interacting",2,86
444,"strongly correlated",2,86
445,"non commutative",2,86
446,"perfect fluid",2,86
447,"gauge field",2,86
448,"heavy ion collisions",3,86
449,"region around",2,85
450,"initial mass",2,85
451,"statistical analysis",2,85
452,"interacting particles",2,84
453,"orthogonal polynomials",2,84
454,"fine structure",2,84
455,"periodic potential",2,84
456,"high precision",2,84
457,"two dimensional electron",3,84
458,"coupling regime",2,84
459,"information theory",2,84
460,"conformal field theory",3,84
461,"random walks",2,84
462,"dynamic properties",2,83
463,"surface brightness",2,83
464,"thermal fluctuations",2,83
465,"scattering length",2,83
466,"modules over",2,83
467,"infinite dimensional",2,83
468,"gauge invariant",2,83
469,"quantum channel",2,82
470,"single mode",2,82
471,"quantum numbers",2,82
472,"redshift range",2,82
473,"models predict",2,82
474,"two step",2,82
475,"small angle",2,82
476,"non abelian",2,82
477,"integrated luminosity",2,82
478,"expectation value",2,81
