rank,term,n_tokens,freq
1,"standard model",2,426
2,"two dimensional",2,408
3,"field theory",2,282
4,"gauge theory",2,263
5,"low energy",2,231
6,"high energy",2,204
7,"string theory",2,198
8,"ground state",2,178
9,"quantum gravity",2,158
10,"experimental data",2,148
11,"leading order",2,147
12,"effective action",2,144
13,"space time",2,141
14,"higher order",2,136
15,"perturbation theory",2,131
16,"cross section",2,122
17,"finite temperature",2,119
18,"quantum group",2,116
19,"effective potential",2,113
20,"finite dimensional",2,112
21,"phase transition",2,111
22,"two point",2,111
23,"general relativity",2,110
24,"new approach",2,109
25,"wave function",2,108
26,"symmetry breaking",2,107
27,"non linear",2,104
28,"second order",2,104
29,"field theories",2,103
30,"phase space",2,103
31,"large scale",2,102
32,"moduli space",2,101
33,"numerical simulations",2,101
34,"quark mass",2,101
35,"first order",2,100
36,"matrix elements",2,100
37,"quantum mechanics",2,98
38,"model independent",2,97
39,"large number",2,97
40,"black holes",2,96
41,"parameter space",2,95
42,"renormalization group",2,93
43,"exact solutions",2,92
44,"cross sections",2,90
45,"new class",2,89
46,"correlation functions",2,89
47,"qcd corrections",2,89
48,"non perturbative",2,88
49,"gauge fields",2,87
50,"non trivial",2,87
51,"quantum field",2,86
52,"coupling constant",2,84
53,"power law",2,84
54,"special case",2,82
55,"boundary conditions",2,82
56,"energy spectrum",2,81
57,"form factors",2,81
58,"scalar fields",2,79
59,"time dependent",2,78
60,"two loop",2,78
61,"einstein equations",2,78
62,"monte carlo",2,78
63,"sigma model",2,77
64,"bound states",2,76
65,"mass spectrum",2,76
66,"continuum limit",2,76
67,"partition function",2,76
68,"cp violation",2,76
69,"finite size",2,75
70,"correlation function",2,75
71,"distribution function",2,75
72,"quantum groups",2,74
73,"first order phase transition",4,74
74,"exact solution",2,72
75,"scalar field",2,72
76,"hilbert space",2,71
77,"free energy",2,71
78,"gauge field",2,71
79,"decay rate",2,71
80,"perturbative qcd",2,70
81,"infinite number",2,70
82,"non local",2,70
83,"matrix models",2,69
84,"left right",2,69
85,"three dimensions",2,68
86,"coupling constants",2,68
87,"long range",2,68
88,"monte carlo simulations",3,68
89,"magnetic field",2,67
90,"dynamical systems",2,67
91,"critical point",2,66
92,"distribution functions",2,66
93,"weak coupling",2,66
94,"two dimensions",2,66
95,"wave functions",2,66
96,"four dimensional",2,64
97,"strong coupling",2,64
98,"lattice qcd",2,64
99,"order parameter",2,64
100,"ising model",2,63
101,"yukawa couplings",2,63
102,"general framework",2,63
103,"large class",2,63
104,"new physics",2,63
105,"energy density",2,62
106,"invariant under",2,61
107,"matter fields",2,61
108,"yang mills",2,61
109,"radiative corrections",2,61
110,"chern simons",2,58
111,"scalar field theory",3,58
112,"critical value",2,58
113,"mean field",2,58
114,"structure function",2,58
115,"2d gravity",2,57
116,"higgs boson",2,57
117,"three dimensional",2,57
118,"zero temperature",2,57
119,"critical behavior",2,57
120,"physical states",2,56
121,"tree level",2,56
122,"gravitational radiation",2,56
123,"high temperature",2,56
124,"fermion mass",2,55
125,"hamiltonian structure",2,55
126,"effective lagrangian",2,55
127,"spontaneously broken",2,55
128,"structure functions",2,55
129,"non zero",2,55
130,"sum rules",2,54
131,"loop corrections",2,54
132,"classical limit",2,53
133,"loop level",2,53
134,"qcd sum rules",3,53
135,"particle physics",2,53
136,"finite number",2,53
137,"heavy meson",2,53
138,"self consistent",2,53
139,"cosmological models",2,53
140,"chiral perturbation theory",3,53
141,"angular momentum",2,52
142,"final states",2,52
143,"final state",2,52
144,"pair production",2,51
145,"four dimensions",2,51
146,"cosmological constant",2,51
147,"meson decays",2,51
148,"closed form",2,50
149,"quantum field theory",3,50
150,"spherically symmetric",2,50
151,"low temperature",2,50
152,"heavy quark",2,50
153,"complete set",2,49
154,"chiral limit",2,49
155,"initial conditions",2,49
156,"early universe",2,49
157,"upper bound",2,49
158,"renormalization group approach",3,48
159,"small values",2,48
160,"mass distribution",2,47
161,"temperature dependence",2,47
162,"galaxy clusters",2,47
163,"dark matter",2,47
164,"square lattice",2,46
165,"vertex operators",2,46
166,"spin chain",2,46
167,"inflationary universe",2,46
168,"quark masses",2,46
169,"electroweak interactions",2,45
170,"conformal symmetry",2,45
171,"spontaneous symmetry breaking",3,45
172,"algebraic structure",2,45
173,"quantum mechanical",2,45
174,"power spectrum",2,45
175,"exactly solvable",2,44
176,"beta function",2,44
177,"explicit form",2,44
178,"critical exponent",2,44
179,"off shell",2,44
180,"evolution equations",2,44
181,"light quarks",2,44
182,"deep inelastic",2,44
183,"ginzburg landau",2,43
184,"black hole",2,43
185,"infinite dimensional",2,43
186,"self dual",2,43
187,"quantum fluctuations",2,43
188,"bound state",2,43
189,"two body",2,43
190,"canonical quantization",2,42
191,"harmonic oscillator",2,42
192,"spectral function",2,42
193,"form factor",2,42
194,"single particle",2,42
195,"free parameters",2,41
196,"zero modes",2,41
197,"chiral symmetry",2,41
198,"mean field theory",3,41
199,"strong interactions",2,40
200,"low energies",2,40
201,"riemann surfaces",2,40
202,"einstein gravity",2,40
203,"two types",2,40
204,"initial data",2,40
205,"baryon number",2,40
206,"initial state",2,40
207,"branching ratio",2,40
208,"complex structure",2,39
209,"non abelian",2,39
210,"hamiltonian formulation",2,39
211,"integrable systems",2,39
212,"integrable models",2,39
213,"string theories",2,39
214,"gauge theories",2,39
215,"two classes",2,39
216,"phase diagram",2,39
217,"parameter family",2,39
218,"quark effective",2,39
219,"structure formation",2,39
220,"central charge",2,38
221,"higgs mass",2,38
222,"supersymmetry breaking",2,38
223,"invariant mass",2,38
224,"three point",2,38
225,"asymptotic behavior",2,38
226,"phys rev",2,38
227,"density matrix",2,38
228,"chemical potential",2,38
229,"lattice gauge theory",3,37
230,"conformal field theory",3,37
231,"strong interaction",2,37
232,"schwinger model",2,37
233,"statistical properties",2,37
234,"theoretical predictions",2,37
235,"hole solutions",2,36
236,"bethe ansatz",2,36
237,"fixed point",2,36
238,"theoretical physics",2,36
239,"gauge group",2,36
240,"quantum corrections",2,36
241,"type ii",2,36
242,"quark gluon plasma",3,36
243,"galaxy distribution",2,36
244,"deep inelastic scattering",3,36
245,"minimal supersymmetric standard model",4,36
246,"spin chains",2,35
247,"second order phase transition",4,35
248,"two component",2,35
249,"lie algebra",2,35
250,"non compact",2,35
251,"fermi liquid",2,35
252,"heavy ion collisions",3,35
253,"hubbard model",2,35
254,"available data",2,35
255,"shell model",2,35
256,"asymptotic expansion",2,34
257,"non singular",2,34
258,"flat space",2,34
259,"semi classical",2,34
260,"non abelian gauge theory",4,34
261,"energy momentum",2,34
262,"vector mesons",2,34
263,"two approaches",2,33
264,"dirac operator",2,33
265,"arbitrary number",2,33
266,"world sheet",2,33
267,"current algebra",2,33
268,"massive particles",2,33
269,"chiral symmetry breaking",3,33
270,"scattering amplitudes",2,33
271,"green functions",2,33
272,"half filling",2,33
273,"long time",2,33
274,"dark halo",2,33
275,"jet production",2,33
276,"monte carlo simulation",3,33
277,"pi rho",2,33
278,"group approach",2,32
279,"lie algebras",2,32
280,"infty algebra",2,32
281,"non relativistic",2,32
282,"heat kernel",2,32
283,"real time",2,32
284,"fundamental group",2,32
285,"phase transitions",2,32
286,"self interaction",2,32
287,"density fluctuations",2,32
288,"emission line",2,32
289,"relativistic particle",2,31
290,"path integral",2,31
291,"black hole entropy",3,31
292,"hopf algebra",2,31
293,"non linear sigma model",4,31
294,"many body",2,31
295,"irreducible representations",2,31
296,"topological defects",2,31
297,"delta function",2,31
298,"topological charge",2,31
299,"detailed analysis",2,31
300,"numerical methods",2,31
301,"scaling behavior",2,31
302,"new technique",2,31
303,"effective hamiltonian",2,31
304,"mixing parameters",2,31
305,"decay rates",2,31
306,"decay constants",2,31
307,"tensor product",2,30
308,"threshold corrections",2,30
309,"kaluza klein",2,30
310,"vacuum state",2,30
311,"equal time",2,30
312,"light cone",2,30
313,"nambu jona lasinio model",4,30
314,"feynman diagrams",2,30
315,"long distance",2,30
316,"scattering amplitude",2,30
317,"solar neutrino problem",3,30
318,"proton decay",2,30
319,"experimental values",2,30
320,"light quark",2,30
321,"branching ratios",2,30
322,"tan beta",2,30
323,"minimally coupled",2,29
324,"sum over",2,29
325,"high temperatures",2,29
326,"discrete symmetry",2,29
327,"vector fields",2,29
328,"interaction strength",2,29
329,"cosmic strings",2,29
330,"green function",2,29
331,"time evolution",2,29
332,"stellar evolution",2,29
333,"numerical calculations",2,29
334,"baryon asymmetry",2,29
335,"charged particles",2,28
336,"momentum dependent",2,28
337,"schr odinger",2,28
338,"sigma models",2,28
339,"fixed points",2,28
340,"moduli spaces",2,28
341,"heavy particles",2,28
342,"spin dependent",2,28
343,"interacting fermions",2,28
344,"nonlinear sigma model",3,28
345,"non universal",2,28
346,"small perturbations",2,28
347,"equilibrium dynamics",2,28
348,"quantum cosmology",2,28
349,"time scale",2,28
350,"high energies",2,28
351,"dynamical fermions",2,28
352,"local density",2,28
353,"bar psi",2,28
354,"order phase",2,28
355,"data set",2,28
356,"weak decays",2,28
357,"q2 dependence",2,28
358,"bar nu",2,28
359,"inner product",2,27
360,"scaling properties",2,27
361,"conservation laws",2,27
362,"second part",2,27
363,"poisson bracket",2,27
364,"event horizon",2,27
365,"infinite set",2,27
366,"total energy",2,27
367,"fine tuning",2,27
368,"mirror symmetry",2,27
369,"differential equations",2,27
370,"dispersion relations",2,27
371,"gravitational wave",2,27
372,"existing data",2,27
373,"pi pi0",2,27
374,"optical depth",2,27
375,"curved spacetime",2,26
376,"de sitter",2,26
377,"hall effect",2,26
378,"chiral lagrangian",2,26
379,"quark gluon",2,26
380,"first class",2,26
381,"standard model independent",3,26
382,"boundary condition",2,26
383,"expectation value",2,26
384,"specific heat",2,26
385,"finite temperatures",2,26
386,"gauge invariant",2,26
387,"fractional quantum hall effect",4,26
388,"big bang",2,26
389,"discrete symmetries",2,26
390,"rho parameter",2,26
391,"gravitational potential",2,26
392,"small scale",2,26
393,"precision data",2,26
394,"upper limit",2,26
395,"structure factor",2,26
396,"nuclear matter",2,26
397,"quantum numbers",2,25
398,"fermion number",2,25
399,"random matrix",2,25
400,"soliton solutions",2,25
401,"external fields",2,25
402,"probability distribution",2,25
403,"wilson loop",2,25
404,"gauge invariance",2,25
405,"coherent state",2,25
406,"integral representation",2,25
407,"exact calculation",2,25
408,"dynamical variables",2,25
409,"lattice spacing",2,25
410,"coupling strength",2,25
411,"superstring models",2,25
412,"critical behaviour",2,25
413,"numerical simulation",2,25
414,"field configurations",2,25
415,"axial vector",2,25
416,"magnetic flux",2,25
417,"alpha beta",2,25
418,"lowest order",2,25
419,"physical properties",2,25
420,"self energy",2,25
421,"lattice calculations",2,25
422,"gauge boson",2,25
423,"velocity field",2,25
424,"disordered system",2,25
425,"neutron star",2,25
426,"gamma ray bursts",3,25
427,"high velocity",2,25
428,"galaxy formation",2,25
429,"electron scattering",2,25
430,"parton distributions",2,25
431,"length scales",2,24
432,"two channel",2,24
433,"scalar curvature",2,24
434,"cosmological term",2,24
435,"bosonic string theory",3,24
436,"proper time",2,24
437,"spacetime dimensions",2,24
438,"configuration space",2,24
439,"scale invariant",2,24
440,"plane wave",2,24
441,"semiclassical approximation",2,24
442,"differential geometry",2,24
443,"universality class",2,24
444,"skyrme model",2,24
445,"gauge symmetries",2,24
446,"higher dimensions",2,24
447,"low lying",2,24
448,"ground states",2,24
449,"running coupling",2,24
450,"scattering off",2,24
451,"spectral density",2,24
452,"momentum dependence",2,24
453,"real space",2,24
454,"operator product expansion",3,24
455,"matrix element",2,24
456,"otimes su",2,24
457,"cp violating",2,24
458,"high redshift",2,24
459,"globular cluster",2,24
460,"minimal supersymmetric",2,24
461,"wilson action",2,24
462,"low temperatures",2,24
463,"production rates",2,24
464,"high statistics",2,24
465,"banach space",2,24
466,"fermi surface",2,24
467,"qcd sum rule",3,24
468,"electroweak baryogenesis",2,24
469,"toy model",2,23
470,"antisymmetric tensor",2,23
471,"topological gravity",2,23
472,"loop algebra",2,23
473,"conformal field",2,23
474,"virasoro algebra",2,23
475,"strongly interacting",2,23
476,"main properties",2,23
477,"total cross section",3,23
478,"lie groups",2,23
479,"qed corrections",2,23
480,"special attention",2,23
481,"expectation values",2,23
482,"non interacting",2,23
483,"hamiltonian formalism",2,23
484,"physical interpretation",2,23
485,"excited states",2,23
486,"invited talk",2,23
487,"strong constraints",2,23
488,"momentum transfer",2,23
489,"necessary conditions",2,23
490,"lower bounds",2,23
491,"thermal equilibrium",2,23
492,"yukawa coupling",2,23
493,"charged leptons",2,23
494,"large scale structure",3,23
495,"strongly correlated",2,23
496,"massive stars",2,23
497,"numerical analysis",2,23
498,"normal state",2,23
499,"nuclear medium",2,23
500,"systematic errors",2,23
501,"parton model",2,23
502,"nucleon interaction",2,23
503,"supersymmetric quantum",2,22
504,"ward identities",2,22
505,"random surfaces",2,22
506,"two phases",2,22
507,"generating functional",2,22
508,"gauge field theories",3,22
509,"vacuum expectation value",3,22
510,"higher dimensional",2,22
511,"perturbation expansion",2,22
512,"hartree fock",2,22
513,"topological properties",2,22
514,"broken phase",2,22
515,"integrable system",2,22
516,"domain walls",2,22
517,"classical level",2,22
518,"affine algebras",2,22
519,"approximation scheme",2,22
520,"particle production",2,22
521,"su yang mills",3,22
522,"target space",2,22
523,"time independent",2,22
524,"dirac equation",2,22
525,"over pi",2,22
526,"gravitational waves",2,22
527,"finite volume",2,22
528,"number density",2,22
529,"magnetic moment",2,22
530,"heisenberg model",2,22
531,"self similar",2,22
532,"electroweak theory",2,22
533,"short distance",2,22
534,"nuclear physics",2,22
535,"imaginary part",2,22
536,"quantum chromodynamics",2,22
537,"critical exponents",2,22
538,"simple analytic",2,22
539,"excitation spectrum",2,22
540,"high resolution",2,22
541,"primordial nucleosynthesis",2,22
542,"nuclear reactions",2,22
543,"dense matter",2,22
544,"tevatron collider",2,22
545,"proton collisions",2,22
546,"pion nucleon",2,22
547,"heavy quarks",2,22
548,"gauge bosons",2,22
549,"nuclear collisions",2,22
550,"charged black holes",3,21
551,"critical dimension",2,21
552,"primary fields",2,21
553,"stress tensor",2,21
554,"differential operator",2,21
555,"lep ii",2,21
556,"unified models",2,21
557,"simplest case",2,21
558,"master equation",2,21
559,"energy condition",2,21
560,"electromagnetic field",2,21
561,"explicit construction",2,21
562,"analytic solutions",2,21
563,"mass term",2,21
564,"strongly coupled",2,21
565,"electric charge",2,21
566,"cosmological perturbations",2,21
567,"long term",2,21
568,"anomalous dimension",2,21
569,"spin wave",2,21
570,"transfer matrix",2,21
571,"total mass",2,21
572,"fractional statistics",2,21
573,"perfect fluid",2,21
574,"correlation length",2,21
575,"nearest neighbour",2,21
576,"experimental measurements",2,21
577,"nearest neighbor",2,21
578,"kinetic energy",2,21
579,"baryon density",2,21
580,"star formation",2,21
581,"upper limits",2,21
582,"pion production",2,21
583,"average value",2,21
584,"electron systems",2,21
585,"heavy mesons",2,21
586,"doublet model",2,21
587,"temperature tc",2,20
588,"action principle",2,20
589,"relativistic quantum",2,20
590,"explicit formula",2,20
591,"rest frame",2,20
592,"fourier transform",2,20
593,"lagrangian approach",2,20
594,"integral over",2,20
595,"quantum electrodynamics",2,20
596,"simple proof",2,20
597,"general definition",2,20
598,"free fermion",2,20
599,"time series",2,20
600,"commutation relations",2,20
601,"quark antiquark",2,20
602,"scaling analysis",2,20
603,"qcd vacuum",2,20
604,"conformal invariance",2,20
605,"analytic expressions",2,20
606,"parity violation",2,20
607,"non degenerate",2,20
608,"thermodynamic limit",2,20
609,"theoretical prediction",2,20
610,"vector meson",2,20
611,"grand unification",2,20
612,"charged current",2,20
613,"upper bounds",2,20
614,"stellar disk",2,20
615,"gravitational lensing",2,20
616,"central region",2,20
617,"model predicts",2,20
618,"size scaling",2,20
619,"natural language",2,20
620,"pseudoscalar mesons",2,20
621,"quantum cohomology",2,19
622,"dimensional reduction",2,19
623,"constraint equations",2,19
624,"elliptic functions",2,19
625,"yang baxter equation",3,19
626,"kp hierarchy",2,19
627,"rational functions",2,19
628,"internal structure",2,19
629,"consistency conditions",2,19
630,"current operators",2,19
631,"two dimensional black holes",4,19
632,"operator algebras",2,19
633,"pure gauge theory",3,19
634,"non commutative",2,19
635,"massless particles",2,19
636,"hamiltonian reduction",2,19
637,"goldstone bosons",2,19
638,"non vanishing",2,19
639,"back reaction",2,19
640,"scalar product",2,19
641,"dynamical generation",2,19
642,"periodic potential",2,19
643,"arbitrary values",2,19
644,"compact objects",2,19
645,"equation describing",2,19
646,"analytic properties",2,19
647,"supergravity model",2,19
648,"hawking radiation",2,19
649,"tight binding",2,19
650,"matter sector",2,19
651,"random potential",2,19
652,"third order",2,19
653,"steady state",2,19
654,"general features",2,19
655,"phase shifts",2,19
656,"systematic expansion",2,19
657,"scale structure",2,19
658,"two dimensional ising model",4,19
659,"light quark mass",3,19
660,"quenched approximation",2,19
661,"mixing matrix",2,19
662,"heavy ion",2,19
663,"data sets",2,19
664,"radio emission",2,19
665,"galactic disk",2,19
666,"optical spectra",2,19
667,"relaxation time",2,19
668,"near threshold",2,19
669,"natural language processing",3,19
670,"decay width",2,19
671,"exact diagonalization",2,19
672,"luttinger liquid",2,19
673,"inclusive decays",2,19
674,"electroweak symmetry breaking",3,19
675,"nucleus scattering",2,19
676,"radiative decay",2,19
677,"heisenberg antiferromagnet",2,18
678,"conserved charges",2,18
679,"generic case",2,18
680,"gross neveu model",3,18
681,"quantum field theories",3,18
682,"minkowski space",2,18
683,"perturbative analysis",2,18
684,"extended version",2,18
685,"vacuum structure",2,18
686,"left right symmetric",3,18
687,"explicit expressions",2,18
688,"zero momentum",2,18
689,"higgs sector",2,18
690,"sigma level",2,18
691,"su lattice gauge theory",4,18
692,"instanton induced",2,18
693,"band structure",2,18
694,"calogero sutherland model",3,18
695,"ab initio",2,18
696,"parameter alpha",2,18
697,"hole solution",2,18
698,"linear sigma model",3,18
699,"hartree fock approximation",3,18
700,"three generation",2,18
701,"gaussian approximation",2,18
702,"physical quantities",2,18
703,"large distance",2,18
704,"friedmann robertson walker",3,18
705,"gravitational collapse",2,18
706,"time dependence",2,18
707,"revised version",2,18
708,"planck scale",2,18
709,"spiral galaxies",2,18
710,"too small",2,18
711,"cold dark matter",3,18
712,"coulomb interaction",2,18
713,"large transverse",2,18
714,"spin glasses",2,18
715,"metal insulator",2,18
716,"isgur wise function",3,18
717,"elastic scattering",2,18
718,"semileptonic decays",2,18
719,"heavy flavor",2,18
720,"radiative decays",2,18
721,"total cross sections",3,18
722,"real line",2,17
723,"self interacting",2,17
724,"dirac fermions",2,17
725,"physical processes",2,17
726,"particle creation",2,17
727,"strong magnetic",2,17
728,"modules over",2,17
729,"weakly coupled",2,17
730,"algebraic geometry",2,17
731,"yang mills theories",3,17
732,"charge exchange",2,17
733,"explicit expression",2,17
734,"higgs field",2,17
735,"bar lambda",2,17
736,"flow equations",2,17
737,"test particle",2,17
738,"schwinger dyson equation",3,17
739,"yang mills theory",3,17
740,"higher spin",2,17
741,"briefly reviewed",2,17
742,"flux tubes",2,17
743,"computer simulations",2,17
744,"higher derivative",2,17
745,"main features",2,17
746,"statistical mechanics",2,17
747,"like behavior",2,17
