rank,term,n_tokens,freq
1,"two dimensional",2,348
2,"field theory",2,300
3,"standard model",2,265
4,"string theory",2,188
5,"low energy",2,156
6,"quantum gravity",2,144
7,"ground state",2,133
8,"first order",2,121
9,"effective action",2,112
10,"space time",2,101
11,"high energy",2,101
12,"matrix model",2,97
13,"quantum group",2,97
14,"leading order",2,97
15,"two dimensions",2,96
16,"gauge theory",2,92
17,"new approach",2,90
18,"perturbation theory",2,87
19,"general relativity",2,84
20,"correlation functions",2,82
21,"wave functions",2,80
22,"free energy",2,78
23,"large scale",2,77
24,"exact solutions",2,76
25,"partition function",2,75
26,"experimental data",2,75
27,"numerical simulations",2,74
28,"higher order",2,73
29,"phase space",2,73
30,"coupling constant",2,70
31,"cross section",2,70
32,"minimal models",2,69
33,"matrix models",2,67
34,"boundary conditions",2,67
35,"zero temperature",2,67
36,"finite temperature",2,67
37,"chern simons",2,66
38,"form factors",2,66
39,"chiral symmetry",2,65
40,"renormalization group",2,65
41,"gauge theories",2,64
42,"wave function",2,64
43,"finite dimensional",2,64
44,"quantum mechanics",2,64
45,"lattice qcd",2,64
46,"non local",2,63
47,"non perturbative",2,62
48,"scalar fields",2,62
49,"magnetic field",2,62
50,"gauge field",2,61
51,"model independent",2,60
52,"structure functions",2,59
53,"moduli space",2,58
54,"effective theory",2,58
55,"single particle",2,57
56,"critical point",2,57
57,"non abelian",2,57
58,"matter fields",2,57
59,"strong coupling",2,57
60,"phase transition",2,57
61,"cp violation",2,57
62,"bound state",2,56
63,"gauge fields",2,56
64,"non trivial",2,56
65,"quark mass",2,56
66,"quantum fluctuations",2,55
67,"large class",2,55
68,"perturbative qcd",2,55
69,"self consistent",2,55
70,"four dimensions",2,54
71,"four dimensional",2,54
72,"finite size",2,53
73,"effective potential",2,53
74,"physical states",2,51
75,"general solution",2,51
76,"order parameter",2,51
77,"final state",2,51
78,"yang mills",2,50
79,"loop corrections",2,50
80,"hilbert space",2,49
81,"left right",2,49
82,"structure function",2,49
83,"parameter space",2,49
84,"new physics",2,48
85,"non zero",2,48
86,"fixed point",2,48
87,"monte carlo simulations",3,48
88,"higgs boson",2,48
89,"classical limit",2,47
90,"gauge invariance",2,47
91,"classical solutions",2,46
92,"infinite number",2,46
93,"scattering amplitudes",2,46
94,"new class",2,46
95,"symmetry breaking",2,46
96,"cosmological constant",2,46
97,"mean field",2,46
98,"mass spectrum",2,46
99,"cosmological models",2,46
100,"heavy meson",2,46
101,"exact solution",2,45
102,"yukawa couplings",2,45
103,"three dimensional",2,45
104,"tree level",2,45
105,"black hole",2,44
106,"lattice gauge theory",3,44
107,"matrix elements",2,44
108,"early universe",2,44
109,"sigma models",2,43
110,"field theories",2,43
111,"effective lagrangian",2,43
112,"invariant under",2,43
113,"lie algebras",2,43
114,"gauge invariant",2,43
115,"critical temperature",2,43
116,"second order",2,43
117,"gauge group",2,43
118,"spontaneously broken",2,43
119,"quark masses",2,43
120,"form factor",2,42
121,"special case",2,42
122,"sigma model",2,42
123,"electroweak interactions",2,42
124,"nuclear matter",2,42
125,"cross sections",2,42
126,"conformal field theory",3,41
127,"closed form",2,41
128,"path integral",2,41
129,"initial state",2,41
130,"critical behavior",2,40
131,"two body",2,40
132,"upper bound",2,40
133,"dynamical system",2,40
134,"central charge",2,40
135,"qcd sum rules",3,40
136,"long range",2,40
137,"low temperature",2,40
138,"high energies",2,40
139,"power law",2,40
140,"distribution function",2,40
141,"lattice calculation",2,40
142,"decay rate",2,39
143,"light mesons",2,39
144,"conformal field",2,38
145,"time dependent",2,38
146,"continuum limit",2,37
147,"infinite dimensional",2,37
148,"phase transitions",2,37
149,"ising model",2,37
150,"qcd corrections",2,37
151,"point like",2,36
152,"non relativistic",2,36
153,"coherent states",2,36
154,"critical exponents",2,36
155,"energy spectrum",2,36
156,"monte carlo",2,36
157,"heavy quark",2,36
158,"einstein equations",2,35
159,"lie algebra",2,34
160,"canonical quantization",2,34
161,"real time",2,34
162,"gravitational field",2,34
163,"harmonic oscillator",2,34
164,"probability distribution",2,34
165,"chiral symmetry breaking",3,34
166,"initial conditions",2,34
167,"power spectrum",2,34
168,"light cone",2,33
169,"exactly solvable",2,33
170,"topological field theory",3,33
171,"particle physics",2,33
172,"scalar field",2,33
173,"hamiltonian formalism",2,33
174,"mean field theory",3,33
175,"finite number",2,33
176,"correlation function",2,33
177,"green functions",2,32
178,"differential equations",2,32
179,"chiral fermions",2,32
180,"angular momentum",2,32
181,"three dimensions",2,32
182,"pair production",2,32
183,"tan beta",2,32
184,"integrable systems",2,31
185,"gauge couplings",2,31
186,"time evolution",2,31
187,"spontaneous symmetry breaking",3,31
188,"energy momentum",2,31
189,"radiative corrections",2,31
190,"gauge bosons",2,30
191,"de sitter",2,30
192,"nambu jona lasinio model",4,30
193,"first order phase transition",4,30
194,"self dual",2,29
195,"quantum mechanical",2,29
196,"schwinger model",2,29
197,"coset models",2,29
198,"time scale",2,29
199,"banach space",2,29
200,"wilson loops",2,29
201,"two loop",2,29
202,"gauge field theories",3,29
203,"short distance",2,29
204,"domain walls",2,29
205,"high temperature",2,29
206,"thermal equilibrium",2,29
207,"small scale",2,29
208,"density fluctuations",2,29
209,"deep inelastic scattering",3,29
210,"topological charge",2,28
211,"gravity coupled",2,28
212,"specific heat",2,28
213,"non linear",2,28
214,"correlation length",2,28
215,"square lattice",2,28
216,"einstein gravity",2,28
217,"electric charge",2,28
218,"grand unification",2,28
219,"energy density",2,28
220,"landau ginzburg",2,28
221,"two types",2,28
222,"galaxy clusters",2,28
223,"branching ratio",2,28
224,"general procedure",2,27
225,"conformal field theories",3,27
226,"infty algebra",2,27
227,"charged particles",2,27
228,"irreducible representations",2,27
229,"target space",2,27
230,"cosmic strings",2,27
231,"new features",2,27
232,"beta function",2,27
233,"bound states",2,27
234,"axial vector",2,27
235,"numerical data",2,27
236,"sum rules",2,27
237,"two photon",2,27
238,"bar nu",2,27
239,"elastic scattering",2,27
240,"current algebra",2,26
241,"local density",2,26
242,"mass generation",2,26
243,"explicit form",2,26
244,"differential operators",2,26
245,"phase structure",2,26
246,"higgs mass",2,26
247,"dynamical systems",2,26
248,"theoretical predictions",2,26
249,"available data",2,26
250,"baryon number",2,26
251,"semileptonic decays",2,26
252,"superconformal algebra",2,25
253,"explicit expressions",2,25
254,"two dimensional dilaton",3,25
255,"poisson structure",2,25
256,"quantum electrodynamics",2,25
257,"hamiltonian systems",2,25
258,"group su",2,25
259,"operator algebras",2,25
260,"tensor product",2,25
261,"revised version",2,25
262,"quenched approximation",2,25
263,"weak coupling",2,25
264,"spin excitations",2,25
265,"vacuum structure",2,25
266,"lowest order",2,25
267,"scalar sector",2,25
268,"three point",2,25
269,"numerical methods",2,25
270,"quantum numbers",2,25
271,"initial data",2,25
272,"quark gluon",2,25
273,"gamma ray bursts",3,25
274,"dark matter",2,25
275,"total cross section",3,25
276,"gamma colliders",2,25
277,"mt gev",2,25
278,"long time",2,24
279,"discrete time",2,24
280,"minkowski space",2,24
281,"gravitational wave",2,24
282,"explicit solution",2,24
283,"detailed analysis",2,24
284,"supersymmetry breaking",2,24
285,"coupling constants",2,24
286,"free particle",2,24
287,"ward identities",2,24
288,"arbitrary number",2,24
289,"relativistic particle",2,24
290,"invited talk",2,24
291,"phys lett",2,24
292,"asymptotic behavior",2,24
293,"fine tuning",2,24
294,"explicit construction",2,23
295,"supergravity model",2,23
296,"schr odinger equation",3,23
297,"black holes",2,23
298,"hawking radiation",2,23
299,"physical properties",2,23
300,"external fields",2,23
301,"weak interaction",2,23
302,"hamiltonian formulation",2,23
303,"off shell",2,23
304,"dynamical fermions",2,23
305,"dirac equation",2,23
306,"effective hamiltonian",2,23
307,"low energies",2,23
308,"string world sheet",3,22
309,"quantum gravity coupled",3,22
310,"yang baxter equation",3,22
311,"higher dimensions",2,22
312,"riemann surface",2,22
313,"virasoro algebra",2,22
314,"open system",2,22
315,"hopf algebra",2,22
316,"supersymmetric extension",2,22
317,"scalar field theory",3,22
318,"configuration space",2,22
319,"antisymmetric tensor",2,22
320,"spin wave",2,22
321,"total energy",2,22
322,"global symmetries",2,22
323,"semi classical",2,22
324,"scattering amplitude",2,22
325,"self energy",2,22
326,"strong constraints",2,22
327,"excited states",2,22
328,"hubbard model",2,22
329,"electroweak symmetry",2,22
330,"chiral perturbation theory",3,22
331,"conformal matter",2,21
332,"discrete states",2,21
333,"hamiltonian reduction",2,21
334,"zero modes",2,21
335,"algebraic structure",2,21
336,"chern simons term",3,21
337,"type ii",2,21
338,"topological gravity",2,21
339,"invariant mass",2,21
340,"non compact",2,21
341,"delta function",2,21
342,"fundamental representation",2,21
343,"vertex operators",2,21
344,"arbitrary level",2,21
345,"goldstone bosons",2,21
346,"inflationary universe",2,21
347,"statistical mechanics",2,21
348,"spherically symmetric",2,21
