rank,term,n_tokens,freq
1,"standard model",2,450
2,"two dimensional",2,394
3,"gauge theory",2,323
4,"low energy",2,301
5,"ground state",2,269
6,"quantum field",2,251
7,"first order",2,243
8,"high energy",2,241
9,"field theory",2,231
10,"perturbation theory",2,211
11,"phase transition",2,192
12,"second order",2,187
13,"effective action",2,168
14,"experimental data",2,162
15,"field theories",2,161
16,"new physics",2,158
17,"phase space",2,157
18,"leading order",2,152
19,"finite dimensional",2,151
20,"quantum field theory",3,148
21,"effective potential",2,148
22,"string theory",2,145
23,"general relativity",2,144
24,"space time",2,143
25,"two dimensions",2,142
26,"quantum mechanics",2,139
27,"order parameter",2,136
28,"cross section",2,134
29,"boundary conditions",2,132
30,"wave function",2,131
31,"exact solution",2,129
32,"field equations",2,129
33,"power law",2,127
34,"correlation function",2,126
35,"large number",2,126
36,"model independent",2,126
37,"zero temperature",2,122
38,"quantum gravity",2,120
39,"matrix elements",2,118
40,"bound states",2,116
41,"non linear",2,115
42,"parameter space",2,115
43,"higher order",2,114
44,"phase transitions",2,114
45,"three dimensional",2,111
46,"free energy",2,111
47,"weak coupling",2,110
48,"tree level",2,110
49,"radiative corrections",2,108
50,"high temperature",2,108
51,"magnetic field",2,108
52,"final state",2,105
53,"non perturbative",2,105
54,"exact solutions",2,104
55,"non local",2,103
56,"coupling constant",2,102
57,"strong coupling",2,101
58,"non zero",2,99
59,"numerical simulations",2,99
60,"cross sections",2,99
61,"cp violation",2,99
62,"time dependent",2,98
63,"quantum group",2,98
64,"self consistent",2,98
65,"moduli space",2,98
66,"structure functions",2,96
67,"finite temperature",2,96
68,"mass spectrum",2,95
69,"large scale",2,93
70,"sigma model",2,92
71,"two component",2,91
72,"structure function",2,91
73,"yang mills",2,91
74,"early universe",2,90
75,"cosmological models",2,89
76,"dark matter",2,88
77,"correlation functions",2,87
78,"special case",2,86
79,"invariant under",2,86
80,"infinite dimensional",2,86
81,"three dimensions",2,86
82,"loop corrections",2,86
83,"lattice qcd",2,86
84,"non trivial",2,85
85,"chiral symmetry",2,85
86,"perturbative qcd",2,85
87,"finite number",2,84
88,"form factors",2,84
89,"monte carlo simulations",3,84
90,"fixed point",2,83
91,"symmetry breaking",2,83
92,"long range",2,82
93,"form factor",2,82
94,"monte carlo",2,81
95,"heavy quark",2,81
96,"hamiltonian systems",2,80
97,"gauge fields",2,80
98,"time evolution",2,79
99,"critical point",2,79
100,"galaxy clusters",2,79
101,"low mass",2,78
102,"distribution function",2,77
103,"hilbert space",2,76
104,"theoretical models",2,76
105,"two types",2,76
106,"yukawa couplings",2,76
107,"four dimensional",2,74
108,"physical states",2,73
109,"large class",2,73
110,"chern simons",2,73
111,"mean field",2,72
112,"phys rev",2,71
113,"numerical calculations",2,71
114,"coupling constants",2,71
115,"matter fields",2,71
116,"four dimensions",2,71
117,"energy density",2,71
118,"physical properties",2,70
119,"new class",2,70
120,"ising model",2,70
121,"single particle",2,69
122,"initial conditions",2,69
123,"path integral",2,69
124,"self energy",2,69
125,"renormalization group",2,69
126,"cosmological constant",2,68
127,"gravitational field",2,66
128,"total mass",2,66
129,"phase diagram",2,66
130,"black hole",2,66
131,"quark gluon",2,66
132,"two body",2,65
133,"scalar fields",2,65
134,"vector fields",2,65
135,"continuum limit",2,65
136,"two loop",2,65
137,"energy range",2,65
138,"supersymmetry breaking",2,64
139,"perturbative expansion",2,63
140,"gauge group",2,63
141,"higgs mass",2,63
142,"small values",2,63
143,"quark mass",2,63
144,"classical level",2,62
145,"non equilibrium",2,62
146,"short distance",2,62
147,"statistical properties",2,61
148,"lowest order",2,61
149,"low energies",2,60
150,"effective lagrangian",2,60
151,"available data",2,60
152,"two approaches",2,59
153,"classical limit",2,59
154,"high resolution",2,59
155,"einstein gravity",2,58
156,"sum rules",2,58
157,"left right",2,58
158,"black holes",2,58
159,"quark masses",2,58
160,"effective hamiltonian",2,57
161,"two photon",2,57
162,"lie algebra",2,57
163,"type ii",2,57
164,"lattice gauge theory",3,57
165,"light quarks",2,57
166,"nuclear matter",2,57
167,"deep inelastic",2,56
168,"small scale",2,56
169,"density fluctuations",2,56
170,"pair production",2,56
171,"gauge field",2,55
172,"flat space",2,55
173,"critical behaviour",2,55
174,"magnetic fields",2,55
175,"structure formation",2,55
176,"partition function",2,55
177,"spontaneously broken",2,55
178,"wave functions",2,54
179,"non relativistic",2,54
180,"finite size",2,54
181,"bound state",2,54
182,"complete set",2,54
183,"scalar field",2,54
184,"off shell",2,54
185,"matrix models",2,53
186,"neutron star",2,53
187,"spherically symmetric",2,52
188,"critical temperature",2,52
189,"detailed analysis",2,52
190,"bar nu",2,52
191,"dynamical properties",2,51
192,"strong interactions",2,51
193,"self dual",2,50
194,"non abelian",2,50
195,"galaxy formation",2,50
196,"decay rate",2,50
197,"decay rates",2,49
198,"zero modes",2,49
199,"dynamical evolution",2,48
200,"arbitrary number",2,48
201,"integrable systems",2,48
202,"initial state",2,48
203,"gauge symmetry",2,48
204,"production processes",2,48
205,"gauge invariance",2,47
206,"critical behavior",2,47
207,"low temperature",2,47
208,"coherent states",2,46
209,"low temperatures",2,46
210,"chiral perturbation theory",3,46
211,"spin correlations",2,46
212,"qcd corrections",2,46
213,"beta function",2,45
214,"gravity coupled",2,45
215,"quark effective",2,45
216,"real space",2,45
217,"square lattice",2,45
218,"density matrix",2,44
219,"long time",2,44
220,"energy spectra",2,44
221,"angular momentum",2,44
222,"spin chain",2,44
223,"chiral symmetry breaking",3,44
224,"vector mesons",2,44
225,"large scale structure",3,44
226,"branching ratios",2,44
227,"critical line",2,43
228,"probability distribution",2,43
229,"explicit form",2,43
230,"heterotic string",2,43
231,"upper limit",2,43
232,"theoretical predictions",2,43
233,"numerical simulation",2,42
234,"loop order",2,42
235,"green function",2,42
236,"chiral lagrangian",2,42
237,"monte carlo simulation",3,42
238,"meson decays",2,42
239,"topological charge",2,41
240,"lower limit",2,41
241,"charged particles",2,41
242,"self similar",2,41
243,"non universal",2,41
244,"vacuum structure",2,41
245,"background fields",2,41
246,"supergravity models",2,41
247,"fermion masses",2,41
248,"mean field theory",3,41
249,"distribution functions",2,41
250,"model predicts",2,41
251,"deep inelastic scattering",3,41
252,"optical properties",2,40
253,"complex plane",2,40
254,"number density",2,40
255,"arbitrary dimensions",2,40
256,"double well",2,40
257,"heisenberg model",2,40
258,"gravitational wave",2,40
259,"mass ratio",2,40
260,"mass distribution",2,40
261,"scale structure",2,40
262,"qcd sum rules",3,40
263,"weak interactions",2,39
264,"thermal properties",2,39
265,"arbitrary spin",2,39
266,"energy levels",2,39
267,"upper bounds",2,39
268,"explicit construction",2,39
269,"quantum fluctuations",2,39
270,"initial data",2,39
271,"first class",2,39
272,"experimental value",2,39
273,"hubbard model",2,39
274,"scattering amplitudes",2,39
275,"universality class",2,39
276,"three point",2,39
277,"shell model",2,39
278,"branching ratio",2,39
279,"unified theories",2,38
280,"differential equations",2,38
281,"group equations",2,38
282,"evolution equation",2,38
283,"chaotic systems",2,38
284,"hamiltonian formalism",2,38
285,"spatial distribution",2,38
286,"numerical solutions",2,38
287,"central charge",2,38
288,"elastic scattering",2,38
289,"momentum space",2,38
290,"critical value",2,38
291,"mass term",2,38
292,"electromagnetic fields",2,37
